Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"L, 47-70",11/25/2020,ETSU,H,200,47,0.671,70,15,51,3,21,14,17,11,0,38,5,6,2,22,0,0
Abilene Christian,"W, 80-72",11/27/2020,APSU,H,200,80,1.042,76,29,53,5,9,17,29,5,0,25,12,12,1,15,0,0
Abilene Christian,"W, 70-58",11/28/2020,NEBO,V,200,70,0.979,74,26,58,6,12,12,20,10,0,32,15,9,0,14,0,0
Abilene Christian,"W, 69-48",12/5/2020,TARL,H,192,69,0.979,71,23,56,9,27,14,22,10,0,29,15,10,2,14,0,0
Abilene Christian,"L, 44-51",12/9/2020,TXT,V,196,44,0.664,66,16,45,6,18,6,9,3,0,23,6,8,3,20,0,0
Abilene Christian,"L, 72-85",12/22/2020,ARK,V,192,72,0.998,73,29,61,5,22,9,15,8,0,25,13,3,4,12,0,0
Abilene Christian,"W, 83-65",1/2/2021,LAM,H,193,83,1.078,75,30,69,9,20,14,21,15,0,38,21,11,3,13,0,0
Abilene Christian,"W, 66-63",1/6/2021,HBU,V,195,66,0.94,72,27,65,3,22,9,11,13,0,40,17,6,3,13,0,0
Abilene Christian,"W, 76-42",1/16/2021,SELU,H,192,76,1.058,72,24,54,9,24,19,27,9,0,31,21,16,5,14,0,0
Abilene Christian,"W, 93-58",1/23/2021,UCA,H,196,93,1.215,78,34,64,12,31,13,18,8,0,31,29,11,6,12,0,0
Abilene Christian,"W, 82-62",1/27/2021,SFA,H,194,82,1.082,76,26,63,6,24,24,29,12,0,36,12,7,5,11,0,0
Abilene Christian,"W, 75-67",1/30/2021,INCW,V,196,75,1.174,64,25,52,6,23,19,25,12,0,38,17,2,1,12,0,0
Abilene Christian,"W, 77-62",2/6/2021,LAM,V,195,77,1.19,64,30,61,11,22,6,12,9,0,30,20,11,2,7,0,0
Abilene Christian,"W, 82-69",2/8/2021,TAMC,V,194,82,1.206,69,31,60,6,15,14,21,10,0,30,20,8,3,8,0,0
Abilene Christian,"W, 88-59",2/10/2021,HBU,H,192,88,1.079,82,33,71,13,28,9,18,17,0,40,26,18,4,19,0,0
Abilene Christian,"W, 83-55",2/13/2021,TAMC,H,196,83,1.08,79,27,56,7,26,22,27,5,0,30,19,13,6,13,0,0
Abilene Christian,"W, 86-72",2/24/2021,SAMH,H,195,86,1.171,72,29,57,10,19,18,22,8,0,28,21,6,3,14,12,0
Abilene Christian,"L, 82-84",2/27/2021,UCA,V,196,82,1.059,76,28,62,12,23,14,22,6,0,31,23,9,1,11,25,0
Abilene Christian,"W, 63-61",3/3/2021,SFA,V,195,63,0.871,71,22,45,4,13,15,26,7,0,25,13,4,1,22,30,0
