Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"L, 39-65",11/19/2014,TULS,V,200,39,0.626,62,15,55,5,22,4,7,9,0,26,12,9,2,13,22,0
Abilene Christian,"L, 81-102",11/22/2014,DUQ,H,200,81,1.023,79,25,62,6,14,25,32,9,0,27,11,6,1,11,26,0
Abilene Christian,"L, 56-76",11/29/2014,UCR,V,200,56,0.859,65,19,53,7,16,11,13,6,0,19,10,10,3,12,15,0
Abilene Christian,"W, 72-61",12/4/2014,SAC,H,200,72,1.053,66,23,45,7,17,19,24,5,0,26,17,2,0,17,23,0
Abilene Christian,"L, 59-71",12/6/2014,HOU,V,200,59,0.845,66,22,67,8,31,7,8,11,0,31,14,4,2,10,20,0
Abilene Christian,"L, 44-83",12/17/2014,LOYO,V,200,44,0.68,64,14,55,6,22,10,12,6,0,15,7,10,0,10,18,0
Abilene Christian,"L, 33-77",12/20/2014,BOIS,V,200,33,0.591,58,11,55,6,19,5,6,11,0,21,4,4,0,9,12,0
Abilene Christian,"W, 65-59",12/22/2014,SCST,N,200,65,0.921,71,23,54,8,24,11,18,6,0,24,14,7,0,14,21,0
Abilene Christian,"W, 69-61",12/23/2014,UAPB,N,200,69,1.052,66,24,45,10,20,11,16,5,0,27,15,7,2,18,21,0
Abilene Christian,"L, 81-83",12/28/2014,GCU,V,199,81,1.086,76,31,59,9,22,10,16,3,0,21,11,4,2,11,27,0
Abilene Christian,"W, 87-70",1/4/2015,UCA,H,200,87,1.218,72,29,54,11,18,18,22,7,0,29,16,7,0,14,19,0
Abilene Christian,"W, 71-54",1/10/2015,NICH,H,200,71,0.96,71,22,58,9,25,18,21,9,0,38,11,7,3,15,15,0
Abilene Christian,"W, 95-81",1/13/2015,NWSU,V,200,95,1.383,70,34,59,16,27,11,12,5,0,27,17,6,0,9,23,0
Abilene Christian,"L, 64-82",1/17/2015,SFA,H,200,64,0.954,67,21,54,8,16,14,17,6,0,21,15,4,2,11,17,0
Abilene Christian,"L, 56-63",1/20/2015,MCN,V,200,56,0.795,71,17,53,7,20,15,24,6,0,36,9,6,1,12,29,0
Abilene Christian,"L, 61-77",1/24/2015,INCW,H,200,61,0.953,64,22,45,4,16,13,21,5,0,20,12,7,4,14,20,0
Abilene Christian,"L, 63-80",1/26/2015,SAMH,H,200,63,1.033,62,23,43,8,16,9,21,4,0,22,17,3,1,12,23,0
Abilene Christian,"L, 74-84",1/31/2015,LAM,V,200,74,1.04,73,28,57,10,22,8,15,4,0,23,14,6,0,11,27,0
Abilene Christian,"L, 61-77",2/2/2015,HBU,V,200,61,0.888,68,24,59,4,16,9,12,10,0,24,9,9,0,14,15,0
Abilene Christian,"L, 52-65",2/7/2015,SELU,H,201,52,0.827,62,20,58,9,26,3,4,8,0,28,10,4,2,11,14,0
Abilene Christian,"L, 61-80",2/9/2015,LAM,N,200,61,0.917,66,18,48,9,18,16,20,12,0,28,11,5,5,21,23,0
Abilene Christian,"L, 49-71",2/16/2015,SAMH,V,200,49,0.835,60,18,39,7,17,6,12,4,0,26,12,2,1,18,23,0
Abilene Christian,"L, 54-55",2/21/2015,SELU,V,200,54,0.863,62,18,41,6,15,12,16,5,0,23,9,6,0,19,21,0
Abilene Christian,"L, 44-67",2/24/2015,TAMC,H,200,44,0.706,62,17,48,5,15,5,7,3,0,21,9,6,0,14,26,0
Abilene Christian,"L, 55-75",2/28/2015,UNO,V,200,55,0.899,61,20,51,6,14,9,13,8,0,24,13,9,0,12,22,0
Abilene Christian,"W, 83-71",3/3/2015,HBU,H,200,83,1.312,62,34,56,7,14,8,9,3,0,16,20,8,2,6,20,0
Abilene Christian,"L, 52-64",3/5/2015,INCW,V,200,52,0.78,66,19,61,3,15,11,12,7,0,28,6,5,0,7,19,0
Abilene Christian,"L, 27-58",3/7/2015,TAMC,V,200,27,0.463,58,9,48,2,20,7,9,7,0,31,7,3,0,13,16,0
Air Force,"L, 78-84",11/14/2014,ARMY,V,200,78,1.025,73,31,62,6,19,10,15,11,0,26,14,8,6,18,21,0
Air Force,"W, 68-55",11/15/2014,CITA,N,200,68,1.2,58,24,43,9,20,11,14,10,0,31,17,3,2,17,22,0
Air Force,"L, 53-68",11/25/2014,COLO,V,200,53,0.797,65,18,55,4,20,13,20,8,0,23,11,10,4,10,20,0
Air Force,"L, 62-63",11/30/2014,TXT,V,200,62,1.029,62,23,46,8,18,8,9,8,0,24,9,12,4,18,19,0
Air Force,"W, 59-34",12/3/2014,GRAM,H,200,59,1.116,52,20,53,5,24,14,25,21,0,43,13,7,3,9,16,0
Air Force,"W, 77-61",12/8/2014,NEBO,H,200,77,1.261,64,27,50,9,25,14,17,7,0,26,21,6,4,10,16,0
Air Force,"W, 80-47",12/13/2014,UAPB,H,200,80,1.762,45,26,43,11,21,17,24,9,0,30,19,9,14,0,16,0
Air Force,"L, 75-81",12/20/2014,UCD,H,200,75,1.087,66,26,62,7,27,16,21,12,0,32,14,4,1,9,21,0
Air Force,"W, 66-65",12/22/2014,JXST,H,225,66,1.055,65,22,45,10,23,12,18,1,0,31,17,1,8,10,12,0
Air Force,"L, 49-53",12/31/2014,SDSU,V,200,49,0.801,62,19,43,1,11,10,13,5,0,30,5,6,3,17,14,0
Air Force,"L, 62-80",1/3/2015,NEV,V,200,62,1.041,60,23,50,6,20,10,18,8,0,20,12,8,0,9,24,0
Air Force,"W, 78-56",1/7/2015,SJST,H,200,78,1.204,64,33,54,8,17,4,8,4,0,29,23,6,1,11,13,0
Air Force,"L, 87-92",1/10/2015,COST,H,200,87,1.26,72,30,63,16,35,11,19,8,0,30,25,5,1,5,23,0
Air Force,"L, 48-60",1/14/2015,NM,V,200,48,0.819,58,16,46,6,22,10,16,7,0,22,11,9,0,12,19,0
Air Force,"L, 59-71",1/17/2015,USU,V,200,59,0.996,58,22,53,9,22,6,11,9,0,30,13,6,2,10,16,0
Air Force,"L, 45-77",1/20/2015,SDSU,H,200,45,0.767,58,18,45,3,18,6,12,4,0,16,9,6,2,12,16,0
Air Force,"L, 68-77",1/24/2015,BOIS,H,200,68,1.186,57,28,51,6,18,6,7,8,0,25,17,4,1,11,16,0
Air Force,"W, 66-52",1/28/2015,SJST,V,200,66,1.102,61,19,45,7,16,21,25,7,0,28,13,6,1,10,18,0
Air Force,"L, 63-74",1/31/2015,UNLV,V,200,63,1.019,60,23,52,10,22,7,8,8,0,27,12,1,1,14,19,0
Air Force,"W, 53-49",2/4/2015,NM,H,200,53,0.904,58,19,47,7,26,8,14,3,0,20,16,8,3,8,14,0
Air Force,"W, 73-50",2/7/2015,WYO,H,200,73,1.332,56,28,49,10,20,7,8,6,0,31,18,7,2,8,17,0
Air Force,"L, 42-67",2/11/2015,BOIS,V,200,42,0.985,48,17,41,4,16,4,14,5,0,23,9,4,14,0,15,0
Air Force,"W, 76-75",2/14/2015,UNLV,H,200,76,1.289,57,25,59,12,25,14,21,11,0,27,24,7,5,1,12,0
