Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"L, 57-87",11/22/2015,PORT,V,200,57,0.738,78,15,52,5,19,22,32,10,0,31,9,7,1,20,20,0
Abilene Christian,"L, 100-108",11/24/2015,COST,V,250,100,1.171,86,33,70,14,30,20,24,6,0,31,23,5,3,10,29,0
Abilene Christian,"W, 72-62",11/27/2015,FAMU,N,200,72,1.016,74,23,51,7,15,19,25,9,0,36,8,9,5,17,22,0
Abilene Christian,"L, 57-85",11/28/2015,OAK,N,200,57,0.838,68,20,64,3,21,14,19,14,0,33,8,7,4,9,18,0
Abilene Christian,"L, 75-86",12/3/2015,UNH,H,200,75,1.081,72,24,50,8,15,19,24,4,0,29,12,3,4,12,22,0
Abilene Christian,"L, 63-73",12/5/2015,NEB,V,200,63,0.862,70,22,47,5,15,14,17,2,0,18,5,8,4,20,23,0
Abilene Christian,"L, 56-60",12/18/2015,UCR,H,200,56,0.908,62,22,55,4,19,8,14,9,0,32,7,3,1,9,17,0
Abilene Christian,"L, 69-80",12/20/2015,TCU,V,200,69,0.967,72,24,53,4,19,17,26,7,0,29,11,6,4,13,26,0
Abilene Christian,"L, 70-87",12/22/2015,DRKE,V,200,70,1.028,68,26,58,7,16,11,17,6,0,22,14,6,2,8,22,0
Abilene Christian,"W, 62-61",1/2/2016,UCA,V,200,62,0.861,72,21,55,4,9,16,19,8,0,33,9,7,3,16,21,0
Abilene Christian,"L, 62-63",1/9/2016,NICH,V,200,62,0.86,71,22,57,5,16,13,17,8,0,26,9,13,1,15,23,0
Abilene Christian,"W, 87-72",1/12/2016,NWSU,H,200,87,1.107,78,26,63,6,19,29,35,13,0,39,16,9,2,12,22,0
Abilene Christian,"L, 62-97",1/16/2016,SFA,V,200,62,0.946,65,25,49,4,17,8,18,6,0,17,15,4,2,14,16,0
Abilene Christian,"W, 75-67",1/19/2016,MCN,H,200,75,1.128,67,28,54,3,13,16,20,6,0,26,13,7,2,9,19,0
