"Team","Res","Date","Opp","Loc","MIN","PTS","O-PPP","Pace","FGM","FGA","3FM","3FA","FTM","FTA","OREB","TmRb","REB","AST","STL","BLK","TO","F","Tm Pts"
"Saint Mary`s","W, 121-52","2010-11-23","CHIS","H","200","121","1.470","85","43","74","13","32","22","28","16","0","46","32","14","10","11","17","0"
"Washington","W, 118-64","2010-11-13","MCN","H","200","118","1.230","95","43","92","12","30","20","42","28","0","67","24","12","5","12","27","0"
"Gonzaga","W, 117-72","2010-11-12","SOU","H","200","117","1.450","80","39","72","13","22","26","33","21","0","54","26","9","1","14","21","0"
"Missouri","W, 116-63","2010-12-18","UCA","H","200","116","1.439","80","45","68","13","26","13","16","9","0","32","33","15","9","14","20","0"
"Virginia Military Institute","W, 114-82","2010-12-11","LONG","H","200","114","1.350","84","43","78","15","34","13","22","14","0","50","23","5","1","10","20","0"
"DePaul","W, 114-81","2010-11-14","CHIS","H","200","114","1.161","99","42","71","5","22","25","34","9","0","37","31","17","7","20","23","0"
"Louisville","W, 114-82","2010-12-22","WKU","V","200","114","1.435","80","42","65","16","30","14","22","13","0","34","25","9","3","17","24","0"
"Lamar","W, 113-102","2011-03-02","TXST","H","200","113","1.204","94","40","78","13","27","20","27","11","0","37","23","8","6","14","26","0"
"Kansas","W, 113-75","2010-11-12","LONG","H","200","113","1.398","81","43","69","8","19","19","27","13","0","38","28","15","6","12","17","0"
"Saint Bonaventure","W, 112-107","2010-12-18","OHIO","H","300","112","1.069","106","38","67","6","18","30","48","9","0","48","14","8","5","24","19","0"
"Iowa","W, 111-50","2010-11-26","SIUE","H","200","111","1.422","78","37","63","10","18","27","38","16","0","41","24","19","2","13","8","0"
"Georgetown","W, 111-102","2010-11-30","MIZZ","N","225","111","1.297","84","39","69","15","32","18","18","9","0","32","23","6","3","17","27","0"
"Chattanooga","W, 111-110","2011-01-27","UNCG","H","250","111","1.245","90","32","54","11","23","36","53","9","0","39","17","5","2","19","19","0"
"Florida Gulf Coast","W, 111-103","2011-01-25","STET","V","275","111","1.138","100","30","61","10","19","41","60","13","0","42","17","5","3","21","27","0"
"Oakland","W, 110-90","2011-03-07","SDST","N","200","110","1.502","73","45","78","12","21","8","11","14","0","38","22","5","2","4","18","0"
"Duke","W, 110-58","2010-11-19","COLG","H","200","110","1.301","84","34","72","12","30","30","39","18","0","43","24","13","7","12","19","0"
"UNC Greensboro","L, 110-111","2011-01-27","CHAT","V","250","110","1.215","90","39","83","17","43","15","18","14","0","32","22","13","0","13","37","0"
"Norfolk State","W, 110-108","2011-01-31","COPP","V","250","110","1.090","100","37","75","10","22","26","44","15","0","51","20","8","8","20","24","0"
"Washington","W, 109-77","2011-02-10","CAL","H","200","109","1.447","78","43","76","17","31","6","7","13","0","36","30","4","11","9","29","0"
"BYU","W, 109-60","2010-11-20","CHIS","H","200","109","1.224","89","38","82","11","31","22","38","18","0","54","23","16","2","7","16","0"
"Coastal Carolina","W, 109-87","2011-01-06","VMI","V","200","109","1.197","90","40","72","3","10","26","38","13","0","47","21","7","4","14","18","0"
"Tennessee Tech","W, 109-105","2011-01-13","UTM","H","275","109","1.052","108","41","79","4","10","23","35","13","0","41","22","14","1","21","30","0"
"Washington","W, 108-79","2010-12-04","TXT","H","200","108","1.318","84","41","73","9","17","17","23","16","0","36","21","9","8","14","19","0"
"Columbia","W, 108-74","2010-11-15","UMES","H","200","108","1.443","75","38","60","12","20","20","27","16","0","42","17","8","3","18","23","0"
"Duke","W, 108-62","2010-12-29","UNCG","V","200","108","1.423","76","39","64","11","24","19","25","7","0","27","24","13","5","7","16","0"
"UC Davis","W, 108-107","2011-01-29","UCI","H","250","108","1.089","98","37","77","13","28","21","32","8","0","37","25","6","0","15","22","0"
"Coppin State","L, 108-110","2011-01-31","NORF","H","250","108","1.078","100","39","89","8","28","22","32","15","0","44","19","9","3","11","28","0"
"Syracuse","W, 107-59","2011-03-05","DEP","H","200","107","1.502","72","45","63","7","9","10","11","10","0","37","28","13","12","13","13","0"
"Lamar","W, 107-72","2011-01-22","UCA","H","200","107","1.247","84","37","69","14","29","19","27","14","0","39","23","10","4","18","24","0"
"Fort Wayne","W, 107-79","2011-01-11","SIUE","H","200","107","1.457","71","39","68","10","24","19","22","13","0","32","27","6","3","8","24","0"
"North Carolina","W, 107-63","2010-11-18","HOFS","N","200","107","1.420","76","40","71","12","17","15","26","20","0","49","29","8","5","12","16","0"
"UC Irvine","L, 107-108","2011-01-29","UCD","V","250","107","1.096","98","41","75","4","15","21","35","10","0","45","13","10","1","16","31","0"
"Arizona","W, 107-105","2011-02-05","CAL","V","275","107","1.193","92","35","74","14","34","23","31","13","0","43","16","4","1","14","31","0"
"Ohio","L, 107-112","2010-12-18","BONA","V","300","107","0.987","106","40","101","9","40","18","24","17","0","43","15","15","2","13","34","0"
"Utah Valley","W, 107-96","2011-01-20","UND","V","301","107","1.082","98","31","73","10","22","35","44","12","0","51","16","1","3","17","33","0"
"North Carolina","W, 106-74","2011-02-01","BC","V","200","106","1.386","78","39","68","11","21","17","20","10","0","39","27","6","4","9","16","0"
"Louisville","W, 106-65","2010-11-22","CHAT","H","200","106","1.292","80","37","75","15","37","17","19","14","0","40","29","19","6","12","21","0"
"Washington","W, 106-63","2010-11-22","UVA","N","200","106","1.429","74","40","69","17","26","9","13","10","0","38","22","8","4","9","21","0"
"Maryland","W, 106-52","2011-02-09","LONG","H","200","106","1.388","74","39","72","10","28","18","26","20","0","51","28","8","2","12","12","0"
"South Dakota","W, 105-73","2011-02-26","CHIS","H","200","105","1.253","85","35","71","15","33","20","29","10","0","43","23","10","6","9","19","0"
"Florida","W, 105-55","2010-11-18","NCAT","H","200","105","1.399","74","42","73","9","22","12","17","17","0","42","26","16","8","11","12","0"
"Virginia Military Institute","W, 105-71","2011-01-13","RAD","V","200","105","1.315","82","37","69","15","30","16","25","13","0","38","20","10","7","12","21","0"
"Oakland","W, 105-96","2011-02-19","SDST","H","200","105","1.305","80","38","70","10","27","19","22","9","0","37","22","3","9","9","14","0"
"Maryland","W, 105-76","2010-11-08","SEA","H","200","105","1.077","99","35","62","2","8","33","41","13","0","43","23","9","9","29","20","0"
"Oakland","W, 105-53","2010-11-26","SOU","N","200","105","1.423","74","35","76","10","28","25","29","24","0","52","23","11","4","8","15","0"
"South Dakota State","W, 105-95","2011-01-01","SUU","V","200","105","1.267","82","32","59","10","20","31","46","11","0","29","16","6","1","13","28","0"
"California","L, 105-107","2011-02-05","ARIZ","H","275","105","1.118","92","34","69","7","12","30","42","7","0","35","23","9","5","12","25","0"
"Tennessee-Martin","L, 105-109","2011-01-13","TTU","V","275","105","0.941","108","37","82","6","23","25","39","13","0","39","18","8","1","24","27","0"
"Iowa State","W, 104-63","2010-12-21","CHIS","H","200","104","1.215","86","33","66","10","28","28","35","13","0","42","19","14","7","16","13","0"
"Colorado","W, 104-59","2010-12-19","LONG","H","200","104","1.426","71","38","72","10","17","18","23","18","0","45","23","5","4","8","13","0"
"Seton Hall","W, 104-79","2010-12-11","MASS","V","200","104","1.211","84","36","60","11","22","21","25","4","0","34","25","5","10","18","26","0"
"Tennessee","W, 104-84","2011-01-05","MEM","H","200","104","1.296","82","36","67","12","21","20","30","13","0","41","25","5","8","12","19","0"
"Louisville","W, 104-74","2010-12-27","MORG","H","200","104","1.315","78","37","63","17","23","13","17","13","0","34","25","14","4","21","18","0"
"BYU","W, 104-79","2011-01-11","UTAH","V","200","104","1.247","82","36","76","14","24","18","24","9","0","28","18","12","4","5","21","0"
"Lipscomb","W, 104-101","2010-11-18","APSU","H","226","104","1.118","93","32","61","10","29","30","40","9","0","42","21","5","3","22","30","0"
"Florida","W, 104-91","2011-01-25","UGA","V","250","104","1.129","91","35","76","8","20","26","36","14","0","41","10","12","3","13","19","0"
