Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Air Force,"L, 46-70",11/21/2009,NOCO,H,200,46,0.683,67,14,43,0,17,18,26,5,0,28,7,4,4,17,23,0
Air Force,"W, 68-58",11/28/2009,CHSO,H,201,68,1.077,64,19,48,9,20,21,34,11,0,40,15,3,1,10,17,0
Air Force,"W, 61-49",12/2/2009,NCC,H,200,61,1.43,44,24,41,3,10,10,14,5,0,24,17,4,17,0,12,0
Air Force,"L, 48-58",12/5/2009,MOST,V,200,48,0.866,55,13,33,5,15,17,22,4,0,22,6,5,2,16,15,0
Air Force,"W, 75-41",12/8/2009,PVAM,H,200,75,1.265,58,28,53,11,25,8,9,6,0,35,22,6,2,8,22,0
Air Force,"L, 68-75",12/12/2009,WSU,N,200,68,1.043,66,26,56,5,22,11,13,5,0,21,16,7,0,8,20,0
Air Force,"L, 52-60",12/19/2009,NAU,H,200,52,0.754,66,19,49,3,13,11,21,5,0,27,10,7,6,15,16,0
Air Force,"W, 69-57",12/22/2009,UCD,H,200,69,1.114,62,25,46,8,16,11,23,10,0,33,16,6,4,15,12,0
Air Force,"W, 77-71",12/28/2009,NIAG,N,200,77,1.12,70,26,48,5,12,20,31,6,0,34,21,4,2,12,16,0
Air Force,"L, 47-58",12/29/2009,UTEP,V,200,47,0.794,62,17,44,5,19,8,13,5,0,26,14,5,0,14,17,0
Air Force,"W, 72-65",1/2/2010,TRGV,H,200,72,1.195,62,24,40,3,11,21,30,3,0,22,12,6,5,9,16,0
Air Force,"L, 50-59",1/6/2010,TCU,V,200,50,0.84,59,18,44,4,12,10,18,6,0,28,12,4,4,13,20,0
Air Force,"L, 48-70",1/9/2010,COST,V,200,48,0.797,60,19,44,6,15,4,11,7,0,23,6,5,2,18,22,0
Air Force,"L, 49-67",1/13/2010,BYU,H,200,49,0.84,59,18,54,9,30,4,7,7,0,26,10,6,0,8,17,0
Air Force,"L, 50-73",1/20/2010,NM,H,200,50,0.8,61,17,47,3,24,13,20,7,0,29,8,4,0,13,18,0
Air Force,"L, 54-71",1/23/2010,UTAH,V,200,54,0.886,60,17,42,3,14,17,21,5,0,17,10,6,1,14,22,0
Air Force,"L, 50-60",1/26/2010,UNLV,V,200,50,0.888,55,20,45,5,18,5,7,1,0,19,9,5,0,9,13,0
Air Force,"W, 70-63",1/30/2010,WYO,H,200,70,1.174,60,23,51,11,25,13,16,7,0,23,19,5,1,8,16,0
Air Force,"L, 48-70",2/2/2010,SDSU,V,200,48,0.875,54,19,45,9,19,1,6,7,0,23,11,2,2,14,16,0
Air Force,"L, 51-65",2/6/2010,TCU,H,200,51,0.855,59,19,44,7,19,6,14,4,0,17,12,7,0,13,8,0
Air Force,"L, 47-51",2/9/2010,COST,H,200,47,0.797,56,14,45,4,21,15,21,5,0,23,9,7,0,9,19,0
Air Force,"L, 48-91",2/13/2010,BYU,V,200,48,0.708,68,17,45,10,26,4,8,3,0,18,12,3,0,22,22,0
Air Force,"L, 56-59",2/20/2010,NM,V,200,56,1.062,52,21,41,6,15,8,10,5,0,21,11,2,0,12,21,0
Air Force,"L, 43-54",2/24/2010,UTAH,H,200,43,0.832,51,18,43,2,17,5,12,4,0,17,7,6,1,7,22,0
Air Force,"L, 47-77",2/27/2010,UNLV,H,200,47,0.878,55,17,40,4,17,9,18,4,0,17,10,4,1,9,10,0
Air Force,"L, 49-58",3/2/2010,WYO,V,200,49,0.919,55,20,47,5,20,4,7,7,0,25,11,3,2,10,19,0
Air Force,"L, 42-61",3/6/2010,SDSU,H,200,42,0.779,52,18,46,4,18,2,4,3,0,19,13,2,1,9,16,0
Air Force,"W, 59-40",3/10/2010,WYO,N,200,59,1.066,54,23,48,7,20,6,7,5,0,21,15,4,0,9,19,0
Air Force,"L, 69-75",3/11/2010,NM,N,200,69,1.083,64,27,50,7,15,8,12,4,0,19,15,8,3,12,23,0
Akron,"L, 77-80",11/15/2009,APSU,H,200,77,1.118,71,27,66,8,22,15,25,18,0,37,10,5,2,9,26,0
Akron,"L, 45-66",11/20/2009,NCSU,N,200,45,0.686,66,17,55,4,19,7,18,12,0,24,7,12,3,14,26,0
Akron,"W, 63-59",11/21/2009,DRKE,N,200,63,1.006,62,23,49,10,26,7,14,8,0,28,13,3,2,15,21,0
Akron,"W, 69-52",11/22/2009,HOW,N,200,69,1.021,68,25,57,8,23,11,16,9,0,33,15,7,4,12,21,0
Akron,"W, 68-65",11/27/2009,UAPB,H,200,68,0.986,70,24,53,7,20,13,21,3,0,20,13,6,3,9,16,0
Akron,"W, 80-68",11/29/2009,NIAG,H,200,80,1.065,76,22,51,10,24,26,34,11,0,39,20,6,6,19,18,0
Akron,"L, 62-74",12/4/2009,TAMU,V,200,62,0.884,68,23,63,7,21,9,13,16,0,39,10,1,5,17,25,0
Akron,"W, 83-59",12/18/2009,UNCG,H,200,83,1.152,73,33,56,9,18,8,17,7,0,30,21,11,2,15,21,0
Akron,"W, 80-51",12/20/2009,SFPA,H,200,80,1.173,70,31,61,11,25,7,13,15,0,41,18,8,6,16,15,0
Akron,"W, 77-65",12/22/2009,UIC,H,200,77,1.057,72,27,57,5,18,18,27,13,0,38,18,7,3,16,15,0
Akron,"W, 77-57",12/27/2009,VALP,H,200,77,1.141,66,31,56,4,15,11,20,10,0,29,18,8,1,12,19,0
Akron,"W, 85-76",12/30/2009,WYO,V,200,85,1.039,82,28,57,9,16,20,29,11,0,32,10,7,3,22,24,0
Akron,"L, 63-68",1/5/2010,URI,H,200,63,0.868,72,24,62,4,16,11,18,14,0,38,12,4,3,16,20,0
Akron,"W, 71-45",1/9/2010,BGSU,H,200,71,1.021,68,24,56,9,21,14,18,8,0,30,13,10,2,13,19,0
Akron,"W, 67-62",1/13/2010,OHIO,V,200,67,0.957,68,24,57,6,20,13,19,14,0,35,11,3,0,18,19,0
Akron,"L, 65-78",1/17/2010,BUFF,V,200,65,0.905,71,23,56,4,18,15,27,12,0,34,8,6,1,15,20,0
Akron,"W, 69-49",1/20/2010,MIO,H,200,69,1.252,58,26,54,6,14,11,15,14,0,41,16,0,6,8,12,0
Akron,"L, 70-87",1/23/2010,KENT,V,200,70,0.992,71,26,59,4,17,14,18,9,0,27,16,4,6,12,18,0
Akron,"W, 79-70",1/27/2010,WMU,V,200,79,1.086,74,24,45,8,16,23,31,5,0,24,12,8,5,18,22,0
Akron,"W, 59-45",1/30/2010,TOL,H,200,59,1.006,59,24,57,5,23,6,14,11,0,27,15,6,2,6,14,0
Akron,"L, 59-62",2/1/2010,EMU,H,200,59,0.939,63,17,49,5,18,20,27,12,0,29,13,7,1,13,20,0
Akron,"W, 90-76",2/3/2010,NIU,H,200,90,1.234,74,32,64,8,18,18,23,12,0,35,21,6,1,10,21,0
Akron,"W, 75-70",2/6/2010,BSU,V,200,75,1.086,54,24,67,9,26,18,23,6,0,24,10,6,12,1,18,0
Akron,"W, 56-52",2/9/2010,CMU,V,200,56,1.043,56,19,44,6,15,12,12,13,0,37,8,2,5,17,15,0
Akron,"W, 91-88",2/14/2010,OHIO,H,250,91,1.082,82,32,72,4,17,23,36,20,0,47,14,5,3,15,25,0
Akron,"W, 61-56",2/17/2010,MIO,V,200,61,0.969,62,22,53,3,15,14,21,10,0,32,15,8,4,10,16,0
Akron,"L, 53-70",2/20/2010,VCU,V,200,53,0.853,62,21,66,4,20,7,15,20,0,34,5,8,2,9,20,0
Akron,"W, 77-67",2/24/2010,BUFF,H,200,77,1.12,70,26,50,5,15,20,29,9,0,29,13,4,6,14,23,0
Akron,"W, 74-68",2/27/2010,BGSU,V,200,74,1.08,69,26,57,7,18,15,20,13,0,30,18,6,0,15,26,0
Akron,"L, 61-74",3/5/2010,KENT,H,200,61,0.867,70,20,52,3,19,18,26,11,0,28,8,8,3,17,19,0
Akron,"W, 97-89",3/11/2010,EMU,N,250,97,1.141,83,31,65,11,19,24,38,9,0,33,19,7,8,11,26,0
Akron,"W, 66-64",3/12/2010,WMU,N,200,66,1.029,64,24,58,7,22,11,15,14,0,28,12,11,3,13,12,0
Akron,"L, 75-81",3/13/2010,OHIO,N,225,75,0.991,74,28,78,8,30,11,14,19,0,43,12,6,3,10,23,0
Akron,"L, 66-70",3/17/2010,GB,H,200,66,1.036,64,24,60,11,25,7,12,9,0,32,11,4,4,7,19,0
Alabama,"L, 67-71",11/14/2009,CORN,H,200,67,1.056,64,24,52,4,11,15,22,12,0,30,9,7,3,13,17,0
Alabama,"W, 86-69",11/17/2009,JSU,H,200,86,1.175,72,30,56,7,17,19,32,8,0,26,22,5,8,10,21,0
Alabama,"W, 84-75",11/20/2009,PROV,H,200,84,1.157,74,27,67,3,15,27,35,19,0,42,11,8,7,8,21,0
Alabama,"W, 79-76",11/26/2009,BAY,N,200,79,1.08,72,26,54,5,13,22,34,7,0,29,17,5,4,10,20,0
Alabama,"L, 51-60",11/27/2009,FSU,N,200,51,0.931,56,20,50,6,15,5,8,10,0,23,10,7,2,11,20,0
Alabama,"W, 68-66",11/29/2009,MICH,N,200,68,0.96,70,27,57,8,17,6,8,9,0,33,17,4,5,19,19,0
Alabama,"W, 73-51",12/2/2009,UNF,H,200,73,1.065,68,25,60,9,20,14,18,15,0,34,13,9,4,15,14,0
Alabama,"W, 74-46",12/5/2009,ULM,H,200,74,1.077,68,30,60,5,18,9,12,6,0,25,17,16,7,9,16,0
Alabama,"L, 65-73",12/12/2009,PUR,H,200,65,0.929,70,24,60,3,14,14,21,13,0,30,9,10,3,13,19,0
Alabama,"W, 60-45",12/16/2009,SAMF,H,200,60,1.103,53,25,52,6,21,4,5,11,0,25,16,13,3,11,9,0
Alabama,"L, 74-87",12/19/2009,KSU,N,200,74,0.962,76,25,60,6,19,18,23,7,0,19,9,11,1,13,24,0
Alabama,"W, 90-71",12/23/2009,MERC,H,200,90,1.234,72,34,69,5,16,17,23,16,0,36,21,10,6,9,20,0
Alabama,"W, 77-65",12/30/2009,TSU,H,200,77,1.073,73,26,46,5,10,20,29,4,0,29,16,11,10,16,13,0
Alabama,"W, 67-50",1/4/2010,TOL,V,200,67,1.137,58,22,44,6,14,17,23,7,0,28,15,7,2,11,17,0
Alabama,"W, 66-49",1/9/2010,LSU,V,200,66,1.069,61,27,60,3,14,9,10,12,0,32,14,6,2,9,16,0
Alabama,"L, 64-65",1/13/2010,VAND,H,200,64,0.927,68,25,53,4,13,10,17,5,0,31,12,3,4,13,24,0
Alabama,"L, 59-71",1/16/2010,ARK,V,200,59,0.87,68,25,56,5,18,4,8,6,0,25,15,8,3,14,17,0
Alabama,"L, 56-63",1/19/2010,TENN,H,200,56,0.886,64,22,58,4,15,8,11,14,0,38,13,5,8,14,18,0
Alabama,"W, 62-57",1/23/2010,MSST,H,200,62,0.879,70,22,63,6,19,12,18,14,0,44,16,7,6,13,18,0
Alabama,"W, 57-38",1/27/2010,LSU,H,200,57,1.015,58,21,45,9,17,6,13,7,0,31,19,10,4,12,16,0
Alabama,"L, 57-58",1/30/2010,AUB,V,200,57,0.837,68,21,51,4,15,11,15,9,0,30,10,10,3,19,24,0
Alabama,"L, 65-66",2/4/2010,FLA,H,200,65,1.11,58,22,49,9,21,12,18,7,0,21,14,5,4,8,11,0
Alabama,"L, 67-74",2/6/2010,MISS,V,200,67,1.023,66,24,48,6,13,13,20,5,0,26,16,5,1,13,24,0
Alabama,"L, 55-66",2/9/2010,UK,V,200,55,0.777,69,21,63,4,14,9,10,9,0,29,9,6,2,12,23,0
Alabama,"W, 73-68",2/13/2010,ARK,H,200,73,1.061,70,24,49,3,7,22,29,10,0,32,14,6,5,16,16,0
Alabama,"L, 70-76",2/20/2010,UGA,V,200,70,0.975,69,21,52,7,20,21,27,7,0,25,8,12,1,14,22,0
Alabama,"L, 66-74",2/24/2010,MSST,V,200,66,0.914,70,26,61,6,13,8,13,9,0,32,7,8,5,14,19,0
Alabama,"L, 73-76",2/27/2010,MISS,H,200,73,1.072,66,26,62,8,24,13,17,9,0,31,19,5,3,7,13,0
Alabama,"W, 79-70",3/3/2010,SC,V,200,79,1.028,74,27,60,7,17,18,27,14,0,46,14,7,3,18,14,0
Alabama,"W, 73-61",3/6/2010,AUB,H,200,73,1.021,72,27,55,4,17,15,20,12,0,41,11,7,3,19,16,0
Alabama,"W, 68-63",3/11/2010,SC,N,200,68,0.981,66,22,56,3,8,21,26,11,0,35,8,8,4,12,17,0
Alabama,"L, 67-73",3/12/2010,UK,N,200,67,1.001,68,23,66,5,15,16,23,20,0,44,8,8,1,10,24,0
Alabama A&M,"L, 50-88",11/13/2009,SC,V,200,50,0.634,79,20,55,2,11,8,25,12,0,32,6,9,3,24,24,0
Alabama A&M,"L, 52-87",12/1/2009,AUB,H,200,52,0.684,76,19,57,5,15,9,19,10,0,28,9,15,6,20,18,0
Alabama A&M,"L, 77-80",12/15/2009,TSU,V,200,77,0.93,82,25,61,7,15,20,27,6,0,29,8,9,7,15,20,0
Alabama A&M,"L, 34-81",12/31/2009,FSU,V,200,34,0.468,74,14,54,1,11,5,14,10,0,24,2,8,2,22,19,0
Alabama A&M,"L, 60-71",1/4/2010,JSU,V,200,60,0.811,73,25,61,1,8,9,19,7,0,26,4,7,5,11,16,0
Alabama A&M,"L, 62-64",1/6/2010,GRAM,V,225,62,0.83,73,20,55,2,12,20,31,7,0,29,2,9,2,12,16,0
Alabama A&M,"L, 72-82",1/9/2010,UAPB,H,200,72,0.948,78,18,51,5,19,31,42,10,0,31,9,9,10,15,23,0
Alabama A&M,"W, 72-56",1/11/2010,MVSU,H,200,72,0.971,76,22,53,4,14,24,34,11,0,35,10,10,9,16,24,0
Alabama A&M,"L, 69-83",1/16/2010,ALST,V,200,69,0.954,71,23,62,5,12,18,26,9,0,20,8,8,6,7,26,0
Alabama A&M,"W, 70-63",1/23/2010,SOU,V,200,70,0.866,80,27,60,3,9,13,27,16,0,40,13,14,5,24,30,0
Alabama A&M,"W, 84-70",1/25/2010,ALC,V,200,84,0.936,88,31,69,4,12,18,29,10,0,35,19,14,7,17,24,0
Alabama A&M,"W, 59-54",1/30/2010,PVAM,H,200,59,0.787,75,19,59,6,17,15,23,12,0,40,12,10,10,17,18,0
Alabama A&M,"L, 62-67",2/1/2010,TXSO,H,200,62,0.9,68,18,56,7,22,19,25,12,0,28,12,8,2,13,24,0
Alabama A&M,"L, 55-62",2/6/2010,UAPB,V,200,55,0.817,67,17,51,3,13,18,26,7,0,25,9,11,3,11,23,0
Alabama A&M,"W, 77-69",2/8/2010,MVSU,V,200,77,1.084,68,25,51,3,9,24,38,7,0,30,10,5,4,9,22,0
Alabama A&M,"L, 76-80",2/13/2010,ALST,H,200,76,1.004,78,24,52,5,13,23,31,10,0,25,12,9,5,19,26,0
Alabama A&M,"W, 65-54",2/20/2010,SOU,H,200,65,0.887,72,28,67,5,13,4,9,13,0,37,21,8,4,15,19,0
Alabama A&M,"W, 72-60",2/22/2010,ALC,H,200,72,1.048,70,23,58,4,11,22,31,17,0,40,15,7,6,13,10,0
Alabama A&M,"L, 53-62",2/27/2010,PVAM,V,200,53,0.747,70,18,71,3,24,14,21,19,0,41,8,3,5,9,17,0
Alabama A&M,"L, 57-98",3/1/2010,TXSO,V,200,57,0.72,79,16,52,2,14,23,34,16,0,31,6,9,3,27,15,0
Alabama A&M,"L, 64-70",3/4/2010,JSU,H,200,64,0.94,68,16,52,5,13,27,38,12,0,23,10,11,5,10,15,0
Alabama A&M,"W, 81-60",3/6/2010,GRAM,H,200,81,1.115,72,25,55,6,13,25,35,14,0,40,12,8,9,15,23,0
Alabama A&M,"L, 45-56",3/11/2010,ALST,N,200,45,0.636,70,14,53,0,12,17,29,14,0,31,6,15,2,18,23,0
Alabama State,"L, 53-90",11/16/2009,MISS,V,200,53,0.658,80,18,63,5,21,12,20,14,0,38,13,5,1,22,23,0
Alabama State,"L, 42-78",11/21/2009,BELM,V,200,42,0.609,68,13,56,4,17,12,23,14,0,28,5,14,4,16,20,0
Alabama State,"L, 55-82",11/30/2009,TUL,V,200,55,0.764,71,19,57,5,24,12,21,12,0,34,10,4,4,17,19,0
Alabama State,"L, 50-58",12/2/2009,DEP,V,200,50,0.867,58,16,49,5,20,13,14,13,0,37,11,1,4,15,25,0
Alabama State,"L, 57-61",12/4/2009,EVAN,V,200,57,0.77,74,18,51,8,23,13,19,5,0,20,11,11,6,19,30,0
Alabama State,"L, 63-82",12/12/2009,SIU,V,200,63,0.886,70,20,51,8,23,15,17,3,0,18,13,7,1,15,21,0
Alabama State,"L, 51-76",12/16/2009,ARK,V,200,51,0.699,75,16,59,6,23,13,21,11,0,32,8,5,7,15,22,0
Alabama State,"L, 78-94",12/22/2009,AUB,V,200,78,0.988,78,28,64,10,25,12,21,12,0,28,15,6,2,17,30,0
Alabama State,"W, 70-55",1/4/2010,GRAM,V,200,70,1.058,66,28,61,6,17,8,13,13,0,39,8,9,1,12,8,0
Alabama State,"L, 62-63",1/6/2010,JSU,V,200,62,0.902,69,19,44,4,13,20,31,9,0,32,7,7,8,19,28,0
