Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"W, 107-54",11/6/2018,ND1,H,200,107,1.446,74,41,66,11,23,14,21,13,0,38,26,13,6,11,20,0
Abilene Christian,"W, 94-73",11/9/2018,ARST,H,200,94,1.225,77,31,55,8,14,24,31,11,2,40,17,8,0,18,27,0
Abilene Christian,"W, 67-61",11/15/2018,DEN,V,200,67,1.106,62,22,49,10,24,13,16,5,0,26,16,5,5,9,15,0
Abilene Christian,"W, 72-56",11/22/2018,ELON,H,200,72,1.266,56,29,56,11,18,3,6,8,2,29,19,4,1,6,21,0
Abilene Christian,"W, 73-71",11/23/2018,PAC,V,200,73,1.081,66,28,56,5,15,12,18,6,4,31,10,4,2,9,28,0
Abilene Christian,"W, 60-48",11/24/2018,UCR,H,200,60,1.111,56,22,53,4,10,12,19,14,3,35,10,6,1,6,15,0
Abilene Christian,"W, 90-53",11/27/2018,ND1,H,200,90,1.191,76,37,61,6,20,10,18,10,0,28,21,19,3,16,15,0
Abilene Christian,"L, 62-77",12/1/2018,PEPP,V,200,62,0.871,70,25,62,4,18,8,13,8,3,32,13,9,1,11,24,0
Abilene Christian,"W, 83-68",12/4/2018,CAMP,H,200,83,1.232,69,27,48,7,14,22,26,3,3,21,11,14,0,10,23,0
Abilene Christian,"W, 93-53",12/8/2018,ND1,H,200,93,1.267,73,32,55,11,21,18,24,10,0,32,22,10,4,17,20,0
Abilene Christian,"L, 48-82",12/15/2018,TXT,V,200,48,0.769,66,15,53,5,21,13,22,8,1,26,9,4,3,7,25,0
Abilene Christian,"W, 70-68",12/21/2018,SEMO,V,200,70,0.968,74,23,50,4,15,20,28,5,0,28,12,9,5,14,16,0
Abilene Christian,"W, 88-40",12/29/2018,ND1,H,200,88,1.196,74,35,74,8,25,10,16,22,0,53,22,14,3,14,9,0
Abilene Christian,"W, 68-58",1/2/2019,UNO,H,198,68,0.991,72,24,53,8,17,12,16,9,0,32,12,11,4,17,20,0
Abilene Christian,"L, 68-71",1/5/2019,SAMH,V,200,68,1.021,67,22,50,10,14,14,16,9,1,28,14,11,2,18,17,0
Abilene Christian,"W, 73-72",1/9/2019,MCN,V,200,73,1.177,62,26,52,10,22,11,19,6,0,29,22,3,2,7,16,0
Abilene Christian,"W, 75-72",1/12/2019,SELU,V,200,75,1.145,68,27,56,6,13,15,20,8,3,28,10,7,3,8,26,0
Abilene Christian,"W, 75-68",1/16/2019,HBU,H,200,75,1.072,70,28,58,6,20,13,21,10,2,29,18,10,2,12,18,0
Abilene Christian,"W, 78-69",1/19/2019,NWSU,H,200,78,1.076,71,28,61,8,20,14,20,9,4,41,18,3,5,11,18,0
Abilene Christian,"L, 60-61",1/23/2019,SFA,V,200,60,0.836,72,23,52,6,17,8,10,9,2,32,12,11,4,24,15,0
Abilene Christian,"W, 79-56",1/26/2019,UCA,H,200,79,1.076,74,28,60,6,20,17,24,10,2,37,18,10,6,12,21,0
Abilene Christian,"W, 78-71",1/30/2019,TAMC,H,200,78,1.131,70,25,59,12,24,16,21,14,1,33,17,12,3,14,22,0
Abilene Christian,"W, 75-64",2/6/2019,LAM,V,200,75,1.037,72,25,59,5,15,20,26,9,6,39,14,7,3,10,25,0
Abilene Christian,"L, 85-90",2/9/2019,SAMH,H,250,85,1.018,83,32,58,7,18,14,20,4,2,26,11,6,1,20,23,0
Abilene Christian,"W, 64-48",2/13/2019,NICH,V,200,64,0.946,67,24,60,4,19,12,14,6,6,43,15,7,3,7,12,0
Abilene Christian,"W, 68-48",2/16/2019,INCW,V,200,68,1.085,64,26,52,7,23,9,12,7,0,25,16,9,3,12,18,0
Abilene Christian,"L, 66-75",2/23/2019,SELU,H,200,66,1.032,64,21,54,8,24,16,21,9,0,22,13,7,4,9,21,0
Abilene Christian,"W, 73-64",2/27/2019,TAMC,V,200,73,1.111,66,22,54,8,25,21,31,10,0,31,15,11,0,7,16,0
