Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"L, 69-83",11/13/2017,ARST,V,200,69,1.038,66,25,49,3,17,16,20,6,1,21,11,4,2,14,24,0
Abilene Christian,"L, 67-75",11/20/2017,LIP,H,199,67,0.899,74,25,56,6,20,11,18,6,1,31,14,7,2,16,20,0
Abilene Christian,"W, 85-80",11/24/2017,CAMP,V,225,85,1.06,78,33,65,8,14,11,11,4,4,33,21,8,4,14,18,0
Abilene Christian,"L, 78-88",11/25/2017,SCU,V,200,78,1.163,68,27,58,8,23,16,17,10,1,28,13,8,1,11,14,0
Abilene Christian,"W, 88-83",11/26/2017,BGSU,H,200,88,1.247,72,34,64,6,16,14,18,10,1,37,18,2,6,8,18,0
Abilene Christian,"W, 62-58",12/6/2017,AFA,V,200,62,0.938,68,23,54,9,25,7,15,7,0,24,11,8,4,12,16,0
Abilene Christian,"W, 72-68",12/9/2017,TXST,H,200,72,1.042,68,26,58,10,29,10,17,6,8,33,16,4,7,9,15,0
Abilene Christian,"L, 65-67",12/17/2017,LIP,V,200,65,0.772,86,25,62,6,21,9,11,7,0,29,7,15,4,24,27,0
Abilene Christian,"L, 47-74",12/22/2017,TXT,V,200,47,0.678,69,18,61,4,20,7,7,5,3,32,6,5,0,10,26,0
Abilene Christian,"L, 74-77",12/28/2017,UNO,V,200,74,1.044,74,24,48,8,18,18,25,4,3,26,15,11,4,15,31,0
Abilene Christian,"W, 75-72",12/30/2017,SAMH,H,200,75,1.002,76,25,55,9,22,16,27,8,3,37,17,6,11,15,22,0
Abilene Christian,"W, 79-74",1/3/2018,MCN,H,200,79,1.008,78,28,60,6,24,17,24,4,1,34,17,7,2,11,20,0
Abilene Christian,"L, 70-72",1/6/2018,SELU,H,199,70,0.97,72,29,66,5,18,7,13,9,5,32,16,8,5,9,22,0
Abilene Christian,"W, 82-74",1/10/2018,HBU,V,200,82,1.132,73,30,55,6,19,16,22,3,4,25,18,7,7,10,24,0
Abilene Christian,"W, 69-58",1/13/2018,NWSU,V,200,69,0.959,72,23,53,8,18,15,23,7,5,34,13,9,0,15,22,0
Abilene Christian,"L, 66-76",1/17/2018,SFA,H,200,66,0.895,74,19,43,6,17,22,29,5,3,29,15,4,8,22,28,0
Abilene Christian,"W, 80-63",1/20/2018,UCA,V,200,80,1.168,68,28,56,10,22,14,20,8,4,40,19,6,5,11,20,0
Abilene Christian,"L, 66-80",1/24/2018,TAMC,V,200,66,0.843,78,18,51,6,23,24,30,6,5,25,12,11,0,19,22,0
Abilene Christian,"W, 74-69",1/31/2018,LAM,H,200,74,1.028,74,26,49,8,19,14,21,3,4,36,22,5,5,16,23,0
Abilene Christian,"L, 77-84",2/3/2018,SAMH,V,200,77,1.07,72,28,52,7,18,14,21,9,1,33,16,5,3,19,25,0
Abilene Christian,"L, 65-69",2/7/2018,NICH,H,200,65,0.976,66,25,60,3,21,12,16,14,2,36,7,8,2,13,15,0
Abilene Christian,"W, 80-69",2/10/2018,INCW,H,200,80,1.149,70,31,62,9,24,9,14,16,3,42,16,7,5,17,27,0
Abilene Christian,"L, 54-68",2/17/2018,SELU,V,200,54,0.798,67,20,59,4,15,10,14,13,3,37,9,7,2,15,12,0
Abilene Christian,"L, 67-76",2/22/2018,TAMC,H,200,67,0.895,74,23,54,4,24,17,27,8,2,31,7,8,1,16,21,0
Abilene Christian,"L, 72-74",2/24/2018,UCA,H,200,72,1.018,72,32,68,3,14,5,10,12,4,35,12,11,5,10,19,0
Abilene Christian,"L, 56-76",2/28/2018,SFA,V,200,56,0.775,71,22,50,7,18,5,11,6,6,33,16,6,2,23,20,0
Abilene Christian,"W, 69-59",3/3/2018,INCW,V,200,69,1.031,66,22,56,6,20,19,23,9,4,37,10,6,1,9,14,0
Abilene Christian,"L, 73-80",3/12/2018,DRKE,V,225,73,0.865,85,32,86,6,31,3,3,19,6,54,14,11,8,16,23,0
Air Force,"W, 65-57",11/12/2017,TXST,H,200,65,1.011,64,25,60,8,20,7,9,10,1,30,16,11,3,10,21,0
Air Force,"W, 93-79",11/14/2017,CANI,H,201,93,1.266,71,23,50,9,21,38,41,10,2,34,14,6,4,14,20,0
Air Force,"W, 57-47",11/20/2017,UAPB,H,200,57,0.879,63,15,50,6,22,21,27,10,6,43,11,5,1,12,12,0
Air Force,"L, 71-83",11/21/2017,PAC,H,200,71,0.994,70,23,60,9,32,16,22,12,1,33,20,5,3,13,26,0
Air Force,"L, 69-81",11/26/2017,COLO,V,200,69,1.011,68,25,58,11,26,8,9,4,0,21,16,7,1,10,20,0
Air Force,"L, 64-74",11/29/2017,INST,V,200,64,0.907,72,23,51,6,17,12,18,9,2,30,10,7,1,20,17,0
Air Force,"W, 61-59",12/2/2017,DEN,V,200,61,0.87,68,21,55,7,28,12,17,7,1,30,11,4,0,14,20,0
Air Force,"L, 58-62",12/6/2017,ACU,H,200,58,0.831,68,25,51,3,18,5,8,5,0,33,15,5,2,20,13,0
Air Force,"L, 48-67",12/8/2017,UCR,V,200,48,0.749,63,17,56,5,27,9,17,8,6,30,10,6,2,8,16,0
Air Force,"L, 54-79",12/17/2017,ARMY,V,200,54,0.756,72,14,57,9,30,17,22,17,3,46,9,5,3,21,18,0
Air Force,"L, 59-71",12/30/2017,FRES,V,200,59,0.96,62,17,45,6,17,19,22,6,2,22,11,3,4,12,23,0
Air Force,"L, 75-86",1/6/2018,NEV,H,200,75,1.197,64,29,55,8,21,9,14,8,2,25,14,6,3,9,16,0
Air Force,"L, 76-81",1/10/2018,UNLV,H,199,76,1.145,68,25,61,6,20,20,24,16,0,33,9,7,2,10,18,0
Air Force,"W, 78-71",1/13/2018,SJST,V,200,78,1.194,64,23,56,13,33,19,28,12,3,37,16,4,3,8,19,0
Air Force,"W, 76-71",1/17/2018,COST,V,201,76,1.085,71,25,63,12,39,14,17,9,3,37,18,6,5,8,18,0
Air Force,"L, 49-71",1/24/2018,USU,V,200,49,0.789,62,18,55,3,22,10,15,9,1,33,9,8,0,9,17,0
Air Force,"L, 64-70",1/27/2018,BOIS,H,199,64,1.034,62,19,46,6,16,20,23,5,4,25,9,10,3,10,13,0
Air Force,"L, 50-81",2/3/2018,SDSU,V,199,50,0.743,66,20,61,6,27,4,9,10,4,29,17,10,1,12,17,0
Air Force,"W, 78-73",2/6/2018,COST,H,200,78,1.191,67,26,57,12,26,14,20,10,1,35,18,4,2,9,12,0
Air Force,"W, 100-92",2/10/2018,NM,H,200,100,1.276,80,36,61,5,18,23,26,9,1,33,20,5,5,14,27,0
Air Force,"L, 73-81",2/14/2018,UNLV,V,200,73,1.033,72,26,64,13,30,8,12,5,4,25,19,5,5,6,25,0
Air Force,"L, 52-76",2/17/2018,BOIS,V,200,52,0.841,64,20,52,5,17,7,8,4,1,25,8,7,4,10,11,0
Air Force,"L, 56-67",2/21/2018,SDSU,H,200,56,0.876,66,21,53,13,36,1,2,4,2,32,20,6,3,14,17,0
Air Force,"W, 75-65",2/24/2018,USU,H,200,75,1.081,70,25,51,8,19,17,26,6,1,29,12,12,4,12,19,0
Air Force,"L, 48-54",2/26/2018,FRES,H,200,48,0.681,70,14,49,4,22,16,22,7,2,40,9,9,3,18,18,0
Air Force,"L, 54-66",2/28/2018,WYO,V,200,54,0.757,71,23,59,5,20,3,5,9,5,39,12,6,1,19,15,0
Air Force,"W, 83-61",3/3/2018,SJST,H,200,83,1.184,71,28,64,16,41,11,17,9,2,44,21,5,3,7,16,0
Air Force,"L, 90-97",3/7/2018,UNLV,V,225,90,1.118,82,32,69,13,27,13,20,10,0,31,21,9,3,12,24,0
Akron,"W, 67-57",11/11/2017,CLST,H,200,67,0.789,81,20,64,8,31,19,23,6,3,46,7,5,5,16,26,0
Akron,"W, 76-59",11/18/2017,UTM,H,200,76,1.176,64,25,54,15,31,11,14,10,2,32,18,2,2,14,10,0
Akron,"L, 60-73",11/25/2017,UD,V,199,60,0.93,64,22,49,6,19,10,18,3,3,24,16,5,1,10,17,0
Akron,"W, 75-70",11/28/2017,CHAT,H,200,75,1.07,70,28,53,6,14,13,17,8,3,32,13,13,2,17,23,0
Akron,"L, 64-86",12/2/2017,MRSH,V,200,64,0.762,81,24,63,6,24,10,19,10,8,38,9,11,2,22,19,0
Akron,"W, 83-79",12/6/2017,PFW,H,200,83,1.04,78,31,61,10,24,11,27,12,4,40,16,9,5,18,16,0
Akron,"W, 94-89",12/9/2017,APP,H,200,94,1.229,74,34,60,14,24,12,20,6,5,36,26,4,2,13,17,0
Akron,"W, 81-63",12/16/2017,MVSU,H,200,81,1.192,69,28,59,12,28,13,21,13,5,43,15,9,6,12,19,0
Akron,"L, 53-84",12/22/2017,USC,V,200,53,0.746,70,16,50,7,28,14,19,4,1,23,12,3,1,16,22,0
Akron,"L, 62-64",12/23/2017,PRIN,H,200,62,0.89,68,20,57,12,30,10,14,5,3,31,7,3,4,11,11,0
Akron,"L, 78-91",12/25/2017,DAV,V,200,78,1.09,72,25,51,14,35,14,18,3,3,28,14,4,1,15,17,0
Akron,"L, 75-87",1/2/2018,WMU,V,200,75,1.054,68,27,61,9,27,12,15,8,3,27,15,5,2,11,23,0
Akron,"L, 65-67",1/5/2018,TOL,V,200,65,1.002,64,27,60,9,22,2,4,8,1,35,16,6,2,11,22,0
Akron,"L, 65-87",1/9/2018,BUFF,H,200,65,0.885,75,15,47,6,20,29,41,9,7,34,5,6,1,16,21,0
Akron,"W, 80-78",1/13/2018,BGSU,H,200,80,1.088,74,26,60,12,32,16,20,10,2,36,13,3,2,14,31,0
Akron,"L, 49-63",1/16/2018,EMU,V,200,49,0.78,62,17,55,7,29,8,8,8,5,32,11,7,2,12,18,0
Akron,"W, 82-67",1/20/2018,NIU,H,200,82,1.211,68,29,55,15,31,9,12,6,2,30,19,6,1,13,23,0
Akron,"W, 71-68",1/23/2018,OHIO,H,200,71,1.098,65,26,55,10,23,9,14,8,4,31,14,5,0,11,17,0
Akron,"L, 106-111",1/27/2018,BSU,V,250,106,1.128,94,36,77,15,44,19,21,10,5,40,19,12,3,17,33,0
Akron,"L, 64-79",1/30/2018,MIO,V,200,64,0.931,68,24,59,7,31,9,10,5,3,32,8,3,2,10,15,0
