Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"L, 49-68",12/23/2008,SOMS,V,200,49,0.814,60,18,42,4,12,9,13,2,0,16,7,2,0,14,11,0
Air Force,"L, 61-74",11/23/2008,WOFF,H,200,61,0.953,64,18,47,6,21,19,21,7,0,29,12,5,1,14,18,0
Air Force,"L, 57-76",11/26/2008,STAN,V,200,57,0.869,68,21,44,4,12,11,16,6,0,25,12,5,1,20,15,0
Air Force,"W, 75-52",11/30/2008,NORF,H,200,75,1.21,62,24,47,11,20,16,21,11,0,34,16,7,1,16,12,0
Air Force,"W, 67-55",12/3/2008,NIU,H,200,67,1.265,55,22,46,7,14,16,21,12,0,33,18,6,1,9,17,0
Air Force,"W, 71-64",12/6/2008,NOCO,V,200,71,1.122,66,23,36,8,15,17,28,3,0,21,14,6,3,17,17,0
Air Force,"W, 71-50",12/13/2008,TRGV,H,200,71,1.178,60,28,54,9,18,6,9,10,0,36,18,7,4,12,12,0
Air Force,"W, 65-41",12/22/2008,TXSO,H,200,65,0.99,64,19,41,7,12,20,33,8,0,29,12,15,1,17,19,0
Air Force,"L, 42-43",12/27/2008,PORT,N,200,42,0.751,57,10,36,4,16,18,23,6,0,25,6,5,1,15,18,0
Air Force,"W, 63-41",12/28/2008,DART,N,200,63,0.978,64,19,45,6,16,19,24,6,0,32,12,4,2,14,17,0
Air Force,"L, 64-67",12/31/2008,SBRK,H,200,64,1.081,60,19,36,6,18,20,32,3,0,23,12,4,2,11,20,0
Air Force,"L, 44-61",1/3/2009,SDSU,H,200,44,0.827,52,16,50,5,16,7,11,8,0,25,7,1,2,6,17,0
Air Force,"L, 53-78",1/10/2009,NM,V,200,53,0.842,63,18,46,6,18,11,21,7,0,26,12,3,0,14,20,0
Air Force,"L, 36-57",1/14/2009,UTAH,H,200,36,0.627,58,10,42,2,19,14,24,4,0,23,6,4,1,8,19,0
Air Force,"L, 54-57",1/17/2009,TCU,H,200,54,0.956,55,17,38,5,13,15,20,4,0,22,10,5,1,13,13,0
Air Force,"L, 56-67",1/20/2009,COST,V,200,56,0.911,60,19,45,9,23,9,22,8,0,21,9,9,2,14,23,0
Air Force,"L, 59-72",1/27/2009,WYO,V,200,59,0.995,60,24,53,6,20,5,9,4,0,19,11,1,6,6,23,0
Air Force,"L, 38-59",1/31/2009,UNLV,H,200,38,0.682,56,13,37,5,20,7,12,2,0,24,11,2,0,15,13,0
Air Force,"L, 50-71",2/3/2009,BYU,H,200,50,0.775,64,17,45,5,22,11,18,2,0,22,8,5,3,13,17,0
Air Force,"L, 34-65",2/7/2009,SDSU,V,200,34,0.584,58,13,42,3,15,5,13,9,0,27,8,3,6,19,17,0
