Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Air Force,"W, 76-65",11/10/2012,ARMY,N,200,76,1.08,70,25,50,6,16,20,26,4,0,28,10,10,4,12,13,0
Air Force,"W, 77-70",11/11/2012,CITA,V,200,77,1.282,60,24,49,15,34,14,17,4,0,15,14,8,2,7,15,0
Air Force,"W, 86-72",11/21/2012,MTST,H,200,86,1.279,68,35,59,10,22,6,11,9,0,39,25,5,5,12,18,0
Air Force,"L, 74-89",11/25/2012,COLO,V,200,74,1.078,68,27,60,12,30,8,14,4,0,17,11,7,1,6,21,0
Air Force,"W, 76-47",11/28/2012,JSU,H,200,76,1.124,68,29,53,11,23,7,16,7,0,40,20,3,1,14,23,0
Air Force,"L, 69-72",12/2/2012,WICH,H,200,69,0.987,70,25,55,5,16,14,25,6,0,19,17,11,1,9,13,0
Air Force,"W, 65-49",12/8/2012,UAPB,H,200,65,1,66,22,54,5,23,16,21,11,0,29,13,14,2,12,11,0
Air Force,"W, 61-53",12/22/2012,UCR,V,200,61,0.965,64,23,53,7,18,8,11,6,0,26,12,8,2,11,17,0
Air Force,"L, 61-78",12/29/2012,FLA,N,200,61,0.977,63,19,47,9,20,14,22,5,0,23,11,6,0,10,22,0
Air Force,"L, 68-91",1/2/2013,RICH,V,200,68,0.967,71,22,51,4,14,20,26,11,0,35,14,4,1,18,18,0
Air Force,"W, 78-65",1/9/2013,NEV,H,200,78,1.132,68,24,46,10,17,20,23,2,0,25,15,8,2,14,15,0
Air Force,"L, 71-76",1/12/2013,UNLV,V,225,71,0.959,74,23,60,9,22,16,19,4,0,26,16,6,2,9,22,0
Air Force,"L, 40-79",1/16/2013,COST,V,200,40,0.626,66,17,46,3,19,3,4,3,0,19,10,2,2,19,26,0
Air Force,"W, 91-80",1/19/2013,BOIS,H,200,91,1.248,72,31,57,8,16,21,23,8,0,27,21,9,0,13,19,0
Air Force,"W, 90-48",1/23/2013,UNO,H,200,90,1.459,61,36,56,10,18,8,12,11,0,34,27,11,2,11,14,0
Air Force,"W, 57-48",1/26/2013,WYO,V,200,57,1.028,57,18,41,5,15,16,22,5,0,30,11,7,2,9,15,0
Air Force,"W, 62-50",1/30/2013,FRES,H,200,62,1,60,21,42,5,17,15,19,4,0,35,13,5,1,15,17,0
Air Force,"W, 70-67",2/2/2013,SDSU,H,200,70,1.142,64,25,51,12,30,8,9,3,0,20,20,7,2,9,18,0
Air Force,"L, 58-81",2/6/2013,NM,V,200,58,0.851,68,20,50,7,24,11,15,3,0,23,13,7,2,14,21,0
Air Force,"L, 69-74",2/9/2013,NEV,V,200,69,0.97,71,25,51,8,20,11,15,3,0,24,14,5,3,16,23,0
Air Force,"W, 71-56",2/13/2013,UNLV,H,201,71,1.095,65,29,56,8,23,5,6,10,0,30,19,4,3,16,16,0
Air Force,"L, 86-89",2/16/2013,COST,H,200,86,1.234,69,33,62,13,31,7,12,5,0,22,19,7,2,7,24,0
Air Force,"L, 65-77",2/20/2013,BOIS,V,200,65,1.079,60,23,51,9,25,10,11,7,0,25,15,4,0,11,11,0
Air Force,"W, 72-66",2/26/2013,WYO,H,200,72,1.144,61,26,51,3,18,17,23,6,0,32,15,3,2,7,15,0
Air Force,"L, 41-56",3/2/2013,FRES,V,200,41,0.707,56,12,43,4,20,13,19,7,0,26,8,0,1,13,16,0
Air Force,"L, 51-58",3/6/2013,SDSU,V,200,51,0.834,62,16,48,9,21,10,15,7,0,30,13,3,1,13,23,0
Air Force,"W, 89-88",3/9/2013,NM,H,200,89,1.411,63,31,55,15,31,12,17,6,0,24,23,5,1,6,14,0
Air Force,"L, 56-72",3/13/2013,UNLV,N,200,56,0.849,66,22,53,11,29,1,2,3,0,25,15,5,1,15,13,0
Air Force,"W, 69-65",3/20/2013,HAW,V,200,69,1.034,67,24,55,15,31,6,12,9,0,29,19,6,1,15,17,0
Air Force,"L, 57-78",3/23/2013,WEB,V,200,57,0.947,62,21,55,4,18,11,13,11,0,33,12,4,1,10,16,0
Akron,"L, 70-74",11/9/2012,CCAR,V,225,70,0.954,76,21,57,11,33,17,26,13,0,33,13,13,4,17,21,0
Akron,"L, 65-69",11/15/2012,OKSU,N,225,65,0.868,73,21,70,8,26,15,23,18,0,39,10,4,6,12,23,0
Akron,"W, 82-63",11/16/2012,UNCA,N,200,82,1.207,66,26,53,12,24,18,23,7,0,28,17,10,5,11,22,0
Akron,"W, 85-60",11/18/2012,PSU,N,200,85,1.377,63,27,48,8,16,23,31,10,0,31,14,7,9,9,21,0
Akron,"W, 82-77",12/2/2012,MTSU,H,225,82,1.046,78,30,57,7,20,15,24,6,0,22,15,9,9,16,21,0
Akron,"L, 61-77",12/9/2012,CREI,V,200,61,0.901,65,24,57,4,17,9,12,6,0,26,14,3,7,11,14,0
Akron,"L, 73-80",12/15/2012,DET,V,200,73,0.994,74,28,52,6,15,11,22,8,0,29,13,6,7,19,23,0
Akron,"W, 76-46",12/18/2012,UAPB,H,200,76,1.007,76,25,58,11,34,15,22,18,0,47,19,9,7,25,13,0
Akron,"W, 87-57",12/23/2012,CLST,H,200,87,1.232,73,33,62,9,24,12,16,13,0,41,24,7,2,14,19,0
Akron,"W, 83-68",12/27/2012,TXSO,H,200,83,1.213,68,30,60,6,22,17,22,13,0,38,18,6,7,11,19,0
Akron,"W, 62-58",12/30/2012,PRIN,H,200,62,1.065,58,26,49,2,13,8,11,6,0,22,12,5,5,10,14,0
Akron,"W, 91-63",1/2/2013,COPP,H,200,91,1.139,82,34,74,9,33,14,25,19,0,60,22,8,8,13,18,0
Akron,"W, 65-43",1/9/2013,WMU,H,200,65,1.022,62,24,59,7,20,10,16,14,0,36,15,8,3,11,14,0
Akron,"W, 68-53",1/12/2013,NIU,V,200,68,1.058,65,22,46,5,16,19,30,9,0,34,10,5,6,13,22,0
Akron,"W, 71-64",1/16/2013,BSU,H,200,71,1.017,68,21,51,6,18,23,27,7,0,29,13,6,3,13,15,0
Akron,"W, 71-67",1/19/2013,KENT,V,200,71,0.955,72,26,70,7,25,12,26,22,0,45,12,8,4,14,27,0
Akron,"W, 71-56",1/23/2013,TOL,V,200,71,1.105,65,28,63,10,23,5,9,16,0,43,15,5,9,13,10,0
Akron,"W, 68-64",1/26/2013,BUFF,H,200,68,1.023,66,23,52,7,17,15,20,6,0,28,13,6,6,11,13,0
Akron,"W, 68-55",1/30/2013,BGSU,V,200,68,1.026,65,28,58,7,20,5,9,8,0,33,17,7,2,12,21,0
Akron,"W, 86-72",2/2/2013,OHIO,H,200,86,1.248,70,32,57,6,16,16,23,11,0,39,19,6,4,12,22,0
Akron,"W, 68-56",2/5/2013,CMU,H,200,68,1.051,64,26,53,10,27,6,12,10,0,28,22,4,3,16,12,0
Akron,"W, 54-50",2/9/2013,MIO,V,200,54,0.838,64,19,48,5,16,11,22,8,0,27,8,12,8,14,15,0
Akron,"W, 70-62",2/13/2013,EMU,V,200,70,1.044,66,25,47,9,23,11,17,8,0,30,21,7,4,20,17,0
Akron,"W, 67-50",2/16/2013,BGSU,H,200,67,1.032,66,23,62,2,14,19,23,15,0,42,11,8,6,7,13,0
Akron,"W, 68-53",2/22/2013,NDSU,H,200,68,0.941,72,24,52,6,19,14,28,8,0,40,12,6,6,15,13,0
Akron,"W, 88-81",2/27/2013,OHIO,V,225,88,1.178,74,28,55,9,18,23,31,8,0,35,21,4,5,13,22,0
Akron,"L, 67-81",3/2/2013,BUFF,V,200,67,0.934,69,28,69,4,21,7,12,13,0,30,9,8,5,10,21,0
Akron,"W, 72-58",3/5/2013,MIO,H,200,72,1.073,66,27,54,8,24,10,17,11,0,27,18,14,4,16,16,0
Akron,"L, 64-68",3/8/2013,KENT,H,200,64,0.933,70,25,72,6,27,8,16,20,0,39,10,6,6,9,24,0
Akron,"W, 62-59",3/15/2013,KENT,N,200,62,0.901,69,22,46,5,14,13,29,8,0,33,16,6,10,17,17,0
Akron,"W, 65-46",3/16/2013,OHIO,N,200,65,0.972,68,23,52,3,11,16,25,11,0,41,12,8,3,14,17,0
Akron,"L, 42-88",3/21/2013,VCU,N,200,42,0.656,64,15,43,1,13,11,19,9,0,28,5,2,6,21,12,0
Alabama,"W, 70-67",11/9/2012,SDST,H,200,70,1.117,63,25,52,6,21,14,14,8,0,27,14,8,4,12,16,0
Alabama,"W, 65-62",11/15/2012,ORST,N,200,65,1.02,66,26,58,7,21,6,10,7,0,21,16,8,1,8,21,0
Alabama,"W, 77-55",11/16/2012,NOVA,N,200,77,1.154,67,25,44,9,15,18,31,6,0,31,13,10,2,14,25,0
Alabama,"W, 59-46",11/23/2012,CHSO,H,200,59,0.979,60,23,57,8,21,5,9,11,0,31,17,11,7,10,12,0
Alabama,"W, 75-47",11/27/2012,LAM,H,200,75,1.11,68,30,64,5,20,10,18,18,0,40,13,9,12,13,11,0
Alabama,"L, 56-58",12/1/2012,CINC,V,200,56,0.897,63,25,57,4,11,2,3,11,0,31,8,5,5,15,16,0
Alabama,"L, 76-81",12/5/2012,UD,H,200,76,1.098,71,20,54,7,25,29,32,8,0,26,10,7,7,8,22,0
Alabama,"L, 54-73",12/15/2012,VCU,V,200,54,0.859,63,16,41,3,11,19,25,6,0,21,8,7,1,16,22,0
Alabama,"W, 66-62",12/19/2012,TXT,V,200,66,1.008,68,23,45,5,14,15,22,8,0,32,9,9,4,18,22,0
Alabama,"L, 59-66",12/22/2012,MERC,H,200,59,0.959,63,21,53,4,14,13,20,10,0,31,9,8,3,9,14,0
Alabama,"L, 50-53",12/30/2012,TUL,H,200,50,0.838,59,19,48,3,15,9,12,6,0,25,8,6,5,12,16,0
Alabama,"W, 65-45",1/5/2013,OAK,H,200,65,1.031,66,25,48,6,16,9,17,7,0,36,17,7,7,14,17,0
Alabama,"L, 68-84",1/8/2013,MIZZ,V,200,68,0.925,71,24,55,5,17,15,18,6,0,25,8,6,4,16,21,0
Alabama,"W, 68-65",1/12/2013,TENN,H,200,68,1.062,64,23,54,6,14,16,19,6,0,22,12,10,5,7,14,0
Alabama,"W, 75-43",1/16/2013,MSST,V,200,75,1.214,62,31,58,8,13,5,8,12,0,34,12,12,5,12,12,0
Alabama,"W, 50-49",1/19/2013,TAMU,H,200,50,0.875,56,18,41,6,11,8,15,6,0,24,11,10,2,15,14,0
Alabama,"W, 59-55",1/22/2013,UK,H,200,59,0.908,64,21,57,2,13,15,21,8,0,31,9,10,9,6,13,0
Alabama,"L, 53-54",1/26/2013,TENN,V,200,53,0.996,54,21,45,6,14,5,11,4,0,17,14,10,6,7,16,0
Alabama,"W, 59-56",1/31/2013,ARK,H,200,59,0.938,63,19,46,3,11,18,25,14,0,34,9,7,5,19,11,0
Alabama,"W, 58-54",2/2/2013,VAND,V,200,58,0.942,60,19,50,7,16,13,18,6,0,21,8,12,3,9,15,0
Alabama,"L, 37-49",2/6/2013,AUB,V,200,37,0.635,59,14,49,2,19,7,9,11,0,28,7,9,0,16,22,0
Alabama,"W, 60-57",2/9/2013,LSU,H,200,60,0.9,66,19,54,2,18,20,33,13,0,36,9,6,9,10,16,0
Alabama,"W, 52-45",2/12/2013,UGA,V,200,52,0.872,61,19,49,6,18,8,14,5,0,29,9,8,7,9,16,0
Alabama,"W, 68-58",2/16/2013,SC,H,200,68,1.051,66,22,47,6,19,18,33,10,0,30,12,12,7,12,16,0
Alabama,"W, 64-56",2/20/2013,MSST,H,200,64,0.972,67,20,51,3,15,21,27,12,0,31,10,18,1,14,16,0
Alabama,"L, 94-97",2/23/2013,LSU,V,275,94,1.021,90,35,76,8,21,16,19,6,0,30,9,7,2,13,27,0
Alabama,"W, 61-43",2/26/2013,AUB,H,200,61,0.99,63,22,56,5,24,12,16,10,0,36,13,8,4,8,16,0
Alabama,"L, 52-64",3/2/2013,FLA,V,200,52,0.885,60,22,55,4,15,4,10,10,0,25,7,5,4,9,22,0
Alabama,"L, 83-87",3/5/2013,MISS,V,200,83,1.084,74,29,66,12,21,13,16,14,0,35,18,5,0,17,29,0
Alabama,"W, 61-58",3/9/2013,UGA,H,200,61,1.015,59,20,48,7,18,14,17,8,0,23,6,9,4,12,18,0
Alabama,"W, 58-48",3/15/2013,TENN,N,200,58,1.035,57,19,46,5,10,15,19,9,0,35,5,4,7,10,17,0
Alabama,"L, 51-61",3/16/2013,FLA,N,200,51,0.968,54,19,42,6,12,7,12,5,0,25,5,0,1,10,15,0
Alabama,"W, 62-43",3/19/2013,NU,H,200,62,1.038,60,25,55,4,19,8,10,12,0,34,8,7,2,12,16,0
Alabama,"W, 66-54",3/23/2013,STAN,H,200,66,1.01,66,20,52,4,12,22,26,11,0,38,9,8,4,12,14,0
Alabama,"L, 57-58",3/26/2013,UMD,H,200,57,0.848,64,22,55,4,15,9,11,7,0,23,13,3,6,14,11,0
Alabama A&M,"L, 40-98",11/12/2012,ISU,V,200,40,0.571,72,14,52,2,17,10,19,8,0,19,4,7,5,17,16,0
Alabama A&M,"L, 61-79",11/15/2012,JXST,V,200,61,0.807,75,25,68,1,12,10,16,14,0,31,8,11,2,14,22,0
Alabama A&M,"L, 46-72",11/26/2012,EVAN,V,200,46,0.692,67,15,49,2,14,14,22,11,0,32,8,7,4,18,18,0
Alabama A&M,"L, 72-83",12/1/2012,TSU,H,200,72,1.009,72,24,55,5,17,19,26,9,0,28,11,5,1,13,20,0
Alabama A&M,"L, 46-65",12/8/2012,MERC,V,200,46,0.735,62,17,48,3,18,9,16,10,0,27,5,4,7,17,16,0
Alabama A&M,"L, 46-71",12/15/2012,VAND,V,200,46,0.792,57,15,46,4,17,12,17,9,0,25,7,4,0,13,15,0
Alabama A&M,"W, 59-47",12/18/2012,MOST,H,200,59,1.04,56,23,57,5,16,8,10,13,0,39,15,2,4,8,13,0
Alabama A&M,"L, 68-95",12/22/2012,ARK,H,200,68,0.943,72,25,59,6,14,12,17,12,0,28,9,1,2,17,16,0
Alabama A&M,"W, 59-57",12/30/2012,MSST,V,200,59,0.91,64,24,57,5,16,6,8,9,0,30,10,7,8,13,16,0
Alabama A&M,"W, 78-53",1/2/2013,GRAM,H,200,78,1.128,68,30,72,7,18,11,15,17,0,41,22,7,2,7,15,0
Alabama A&M,"W, 88-87",1/4/2013,JSU,H,250,88,0.907,94,29,70,7,17,23,40,12,0,41,16,9,4,20,25,0
Alabama A&M,"L, 68-79",1/6/2013,MVSU,V,199,68,0.893,74,26,55,9,17,7,13,6,0,23,10,7,5,21,20,0
Alabama A&M,"L, 61-77",1/8/2013,UAPB,V,199,61,0.795,78,19,47,6,15,17,29,4,0,35,17,4,1,20,18,0
Alabama A&M,"W, 64-57",1/12/2013,ALST,H,200,64,1.004,64,20,44,4,10,20,29,11,0,33,7,8,4,17,17,0
Alabama A&M,"L, 59-69",1/19/2013,ALC,H,200,59,0.759,76,16,59,5,19,22,31,9,0,34,14,6,3,13,30,0
Alabama A&M,"L, 68-82",1/21/2013,SOU,H,200,68,0.908,74,25,59,5,14,13,23,8,0,37,16,4,2,13,18,0
Alabama A&M,"L, 56-89",1/26/2013,TXSO,V,200,56,0.865,63,19,50,3,13,15,29,11,0,20,11,5,1,12,15,0
Alabama A&M,"L, 46-65",1/28/2013,PVAM,V,200,46,0.668,68,13,54,1,23,19,27,9,0,26,6,5,4,11,7,0
Alabama A&M,"W, 65-64",2/2/2013,MVSU,H,200,65,0.918,69,23,53,4,16,15,27,9,0,30,16,5,5,14,16,0
Alabama A&M,"L, 67-76",2/4/2013,UAPB,H,200,67,0.904,72,25,59,5,18,12,15,8,0,25,17,12,3,16,20,0
Alabama A&M,"L, 62-69",2/9/2013,ALST,V,200,62,0.904,66,22,53,7,21,11,18,6,0,23,8,6,3,13,27,0
Alabama A&M,"W, 72-65",2/16/2013,ALC,V,200,72,1.232,63,26,53,6,16,14,22,11,0,35,13,2,2,6,15,0
Alabama A&M,"L, 67-81",2/18/2013,SOU,V,200,67,0.943,69,24,57,7,19,12,17,4,0,27,15,3,3,10,19,0
Alabama A&M,"L, 62-64",2/23/2013,TXSO,H,200,62,0.965,64,25,58,5,12,7,11,8,0,33,13,3,3,9,18,0
Alabama A&M,"L, 57-61",2/25/2013,PVAM,H,225,57,0.756,73,19,57,6,20,13,26,8,0,35,12,4,4,14,14,0
Alabama A&M,"W, 74-47",2/28/2013,GRAM,V,200,74,1.057,70,27,64,7,23,13,19,11,0,43,13,4,2,8,11,0
Alabama A&M,"L, 57-60",3/2/2013,JSU,V,200,57,0.986,60,24,56,4,19,5,8,16,0,38,5,3,2,14,15,0
Alabama A&M,"W, 59-51",3/13/2013,GRAM,N,200,59,0.91,66,21,52,4,16,13,27,13,0,39,13,7,4,13,13,0
Alabama A&M,"L, 59-72",3/15/2013,SOU,N,215,59,0.88,68,21,50,5,17,12,19,8,0,33,9,7,7,16,21,0
Alabama State,"L, 53-97",11/9/2012,MTSU,V,200,53,0.69,76,17,47,6,14,13,27,5,0,26,7,2,6,22,23,0
Alabama State,"L, 35-84",11/11/2012,FLA,V,200,35,0.502,71,12,56,4,20,7,10,8,0,27,8,8,2,17,20,0
Alabama State,"L, 56-85",11/13/2012,UCF,V,200,56,0.739,74,23,63,6,24,4,10,7,0,20,11,6,1,15,14,0
Alabama State,"L, 54-59",11/16/2012,SAV,H,200,54,0.874,64,22,47,3,10,7,10,4,0,29,14,3,6,14,17,0
Alabama State,"L, 62-66",11/25/2012,TROY,V,200,62,1.015,63,24,53,4,16,10,17,10,0,29,7,5,4,10,12,0
Alabama State,"L, 54-67",12/8/2012,CHIS,V,200,54,0.737,72,23,53,4,12,4,9,6,0,24,10,11,5,22,18,0
Alabama State,"L, 68-81",12/10/2012,DET,V,200,68,0.948,74,28,57,6,15,6,12,11,0,39,11,6,2,20,19,0
Alabama State,"W, 74-68",12/13/2012,TROY,H,200,74,1.098,68,28,54,10,17,8,24,10,0,32,19,3,4,12,17,0
Alabama State,"L, 67-80",12/15/2012,EVAN,V,200,67,0.955,72,24,52,8,21,11,15,10,0,25,18,10,0,21,26,0
Alabama State,"L, 41-75",12/17/2012,GT,V,200,41,0.572,73,15,60,4,19,7,14,9,0,28,11,6,4,14,17,0
Alabama State,"L, 58-66",12/19/2012,PEPP,N,200,58,0.835,68,18,47,6,16,16,22,6,0,19,9,13,2,18,22,0
Alabama State,"L, 70-76",12/20/2012,TRGV,N,225,70,0.973,70,25,67,5,18,15,23,18,0,40,17,7,6,12,23,0
Alabama State,"W, 70-66",1/2/2013,JSU,H,200,70,0.889,80,21,52,8,21,20,31,9,0,36,10,10,3,21,19,0
Alabama State,"W, 69-56",1/4/2013,GRAM,H,200,69,1.047,67,23,55,6,18,17,23,11,0,36,15,11,3,11,22,0
Alabama State,"L, 58-73",1/6/2013,UAPB,V,202,58,0.778,74,20,60,8,23,10,18,12,0,35,13,4,2,18,21,0
Alabama State,"W, 69-65",1/8/2013,MVSU,V,200,69,1.035,68,27,58,5,15,10,14,13,0,36,14,9,4,15,20,0
Alabama State,"L, 57-64",1/12/2013,ALAM,V,200,57,0.874,64,23,55,2,12,9,11,8,0,24,12,6,0,13,21,0
Alabama State,"L, 67-79",1/19/2013,SOU,H,200,67,0.943,70,25,67,5,24,12,17,15,0,37,13,5,3,11,18,0
Alabama State,"W, 49-46",1/21/2013,ALC,H,200,49,0.741,67,18,50,4,15,9,15,10,0,38,13,8,2,19,14,0
