Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"L, 75-94",11/9/2013,DUQ,V,200,75,0.947,78,22,63,7,25,24,32,9,0,30,9,3,1,10,26,0
Abilene Christian,"L, 47-75",11/11/2013,BONA,V,200,47,0.792,60,14,40,4,16,15,26,9,0,23,7,2,1,16,30,0
Abilene Christian,"L, 44-67",11/13/2013,UMD,V,200,44,0.657,66,17,54,10,21,0,0,3,0,18,9,6,0,16,15,0
Abilene Christian,"L, 41-103",11/17/2013,IOWA,V,200,41,0.588,70,14,54,3,23,10,12,7,0,27,6,3,0,17,21,0
Abilene Christian,"L, 64-71",11/19/2013,TCU,V,200,64,0.987,64,19,50,9,20,17,25,10,0,36,13,4,2,13,26,0
Abilene Christian,"L, 65-93",11/25/2013,XU,V,200,65,0.961,67,23,53,9,24,10,14,3,0,19,11,3,3,11,24,0
Abilene Christian,"L, 47-74",11/30/2013,TOW,V,200,47,0.768,62,18,55,3,19,8,11,6,0,18,8,7,3,7,19,0
Abilene Christian,"L, 81-87",1/9/2014,UNO,V,200,81,1.04,78,28,62,7,23,18,25,7,0,32,20,7,1,11,32,0
Abilene Christian,"L, 77-85",1/11/2014,SELU,V,250,77,0.943,84,23,69,7,19,24,35,11,0,45,8,7,0,7,22,0
Abilene Christian,"L, 59-82",1/16/2014,ORU,N,200,59,0.928,64,19,47,5,10,16,18,6,0,20,5,3,3,14,17,0
Abilene Christian,"W, 73-72",1/18/2014,UCA,N,200,73,1.022,72,25,53,5,14,18,24,8,0,27,11,12,1,15,18,0
Abilene Christian,"L, 57-65",1/23/2014,LAM,N,200,57,0.827,70,18,43,5,14,16,23,7,0,28,6,9,2,22,22,0
Abilene Christian,"L, 51-70",1/25/2014,SAMH,H,200,51,0.836,60,16,38,4,13,15,21,5,0,19,7,6,1,18,24,0
Abilene Christian,"L, 48-64",1/30/2014,SFA,V,200,48,0.686,69,14,44,3,9,17,23,6,0,24,5,6,5,21,17,0
Abilene Christian,"L, 66-84",2/1/2014,NWSU,V,200,66,0.922,70,20,53,12,23,14,16,9,0,25,11,8,0,20,18,0
Abilene Christian,"W, 87-81",2/6/2014,HBU,H,200,87,1.224,70,27,44,5,9,28,38,5,0,25,12,8,3,14,21,0
Abilene Christian,"L, 69-71",2/8/2014,TAMC,H,200,69,1.087,64,21,38,10,20,17,22,1,0,12,14,5,0,16,22,0
Abilene Christian,"L, 68-80",2/13/2014,INCW,V,200,68,1.031,65,22,47,8,15,16,21,4,0,22,9,6,0,13,19,0
Abilene Christian,"L, 60-79",2/27/2014,NICH,V,200,60,0.986,62,17,39,7,17,19,25,2,0,25,8,4,1,12,20,0
Abilene Christian,"L, 91-95",3/1/2014,MCN,V,225,91,1.139,79,30,54,11,22,20,23,2,0,21,17,4,2,17,25,0
Abilene Christian,"L, 56-59",3/8/2014,INCW,H,200,56,0.809,68,20,52,6,19,10,11,8,0,26,14,8,2,20,15,0
Air Force,"W, 79-68",11/8/2013,ARMY,N,200,79,1.123,72,26,49,10,15,17,26,8,0,34,11,8,4,17,18,0
Air Force,"L, 63-71",11/9/2013,VMI,N,200,63,0.863,72,23,53,5,22,12,19,6,0,31,9,8,0,17,20,0
Air Force,"L, 82-84",11/14/2013,JSU,H,200,82,1.118,72,27,57,12,26,16,26,7,0,23,15,4,1,11,25,0
Air Force,"W, 67-64",11/17/2013,UAPB,H,200,67,1.21,56,19,45,9,21,20,26,8,0,27,16,5,14,6,15,0
Air Force,"L, 60-83",11/27/2013,RICH,H,200,60,1.104,58,20,43,4,13,16,26,5,0,24,9,3,15,4,19,0
Air Force,"L, 57-81",11/30/2013,COLO,H,200,57,1.036,56,19,46,6,22,13,19,4,0,20,12,4,16,4,18,0
