"Team","Res","Date","Opp","Loc","MIN","PTS","O-PPP","Pace","FGM","FGA","3FM","3FA","FTM","FTA","OREB","TmRb","REB","AST","STL","BLK","TO","F","Tm Pts"
"Houston Christian","W, 149-144","2022-03-05","MCN","H","295","149","1.243","118","46","95","7","23","50","65","19","0","53","18","6","3","13","31","0"
"McNeese State","L, 144-149","2022-03-05","HBU","V","295","144","1.227","118","53","96","7","25","31","45","12","0","46","18","8","8","12","39","0"
"Saint John`s","W, 119-61","2021-11-09","MVSU","H","192","119","1.408","86","45","65","13","25","16","20","10","0","47","30","9","9","20","24","0"
"Gonzaga","W, 117-83","2022-01-08","PEPP","H","194","117","1.273","92","45","83","10","25","17","23","15","0","47","26","12","5","13","17","0"
"Gonzaga","W, 115-83","2022-01-15","SCL","V","195","115","1.236","91","44","75","12","26","15","19","7","0","46","26","8","4","16","22","0"
"Connecticut","W, 115-109","2021-11-24","AUB","V","246","115","1.173","98","34","69","15","26","32","38","13","0","43","23","4","8","24","26","0"
"Stetson","W, 113-95","2022-01-29","EKU","H","196","113","1.474","78","43","64","16","26","11","14","10","0","35","29","4","5","16","10","0"
"Buffalo","W, 112-85","2022-02-15","BGSU","V","192","112","1.293","86","44","79","11","29","13","16","19","0","51","16","7","3","19","27","0"
"Iowa","W, 112-76","2022-03-10","NW","H","192","112","1.423","76","43","70","19","29","7","12","11","0","37","25","5","5","14","17","0"
"Syracuse","W, 112-110","2021-11-30","IND","H","245","112","1.165","98","36","73","13","34","27","34","5","0","25","16","18","4","12","24","0"
"Houston","W, 111-44","2021-12-03","BRY","H","194","111","1.508","76","44","71","10","23","13","16","11","0","45","23","13","8","6","12","0"
"Iowa","W, 110-87","2022-02-10","UMD","V","192","110","1.528","72","39","65","19","34","13","21","11","0","36","22","8","3","8","13","0"
"Gonzaga","W, 110-84","2022-01-13","BYU","H","193","110","1.419","80","43","62","11","21","13","20","5","0","30","28","6","6","11","16","0"
"Indiana","L, 110-112","2021-11-30","SYR","V","246","110","1.114","98","38","69","11","27","23","31","11","0","40","26","6","3","26","24","0"
"Iowa","W, 109-61","2021-11-22","WMU","H","194","109","1.364","79","38","72","12","26","21","23","10","0","32","20","15","6","7","9","0"
"Colorado State","W, 109-80","2021-11-09","ORU","H","195","109","1.404","78","43","73","11","24","12","14","7","0","42","20","4","9","5","12","0"
"Washington State","W, 109-61","2021-11-18","ID","V","195","109","1.474","74","40","66","10","22","19","23","8","0","37","18","7","4","5","20","0"
"Auburn","L, 109-115","2021-11-24","CONN","H","245","109","1.107","98","32","74","12","30","33","41","8","0","30","14","13","1","13","24","0"
"Rice","W, 109-104","2021-11-22","EVAN","H","270","109","1.230","88","37","67","10","22","25","35","8","0","35","9","5","2","13","18","0"
"Iowa","W, 108-82","2021-11-18","ALST","H","193","108","1.467","74","38","73","20","44","12","16","17","0","41","28","7","2","10","14","0"
"Gonzaga","W, 107-54","2021-11-22","CMU","V","193","107","1.348","76","42","74","9","32","14","24","16","0","50","16","8","6","10","15","0"
"Oral Roberts","W, 107-62","2022-01-01","NEBO","H","193","107","1.236","87","40","74","14","29","13","18","9","0","51","19","11","2","13","23","0"
"Kentucky","W, 107-79","2022-01-15","TENN","H","194","107","1.466","74","38","56","11","18","20","21","5","0","23","19","10","3","12","14","0"
"Citadel","W, 107-93","2022-02-05","SAMF","H","195","107","1.417","77","38","64","17","33","14","20","7","0","26","28","7","1","9","15","0"
"Duke","W, 107-81","2021-11-22","CITA","H","196","107","1.450","73","36","74","8","30","27","29","17","0","44","25","8","5","3","13","0"
"Murray State","W, 106-81","2021-12-30","SEMO","H","193","106","1.273","82","36","64","11","23","23","30","9","0","38","16","9","5","14","19","0"
"Illinois","W, 106-48","2021-12-18","SFPA","H","194","106","1.679","63","38","58","18","34","12","15","11","0","39","21","3","4","9","15","0"
"College of Charleston","W, 106-74","2021-11-11","SCST","H","194","106","1.130","93","38","80","10","28","20","29","15","0","52","18","10","3","15","29","0"
"Portland State","W, 106-99","2022-02-03","NOCO","V","194","106","1.290","84","33","63","14","25","26","32","6","0","25","11","10","0","10","26","0"
"Iowa","W, 106-73","2021-11-09","LONG","H","195","106","1.424","77","36","65","15","33","19","22","9","0","42","24","6","8","8","20","0"
"Missouri State","W, 106-70","2021-12-18","UCA","H","195","106","1.489","71","39","73","16","32","12","13","13","0","36","16","5","6","5","15","0"
"Buffalo","W, 106-90","2021-11-24","ILST","V","196","106","1.275","80","40","76","12","20","14","15","8","0","33","22","7","3","8","13","0"
"South Dakota State","W, 106-102","2022-02-24","ORU","V","222","106","1.214","86","41","78","6","15","18","26","6","0","33","12","5","4","3","16","0"
"San Francisco","W, 105-61","2022-02-10","PEPP","H","193","105","1.330","78","37","75","14","39","17","23","17","0","45","24","15","3","10","21","0"
"South Carolina","W, 105-75","2021-12-22","ARMY","H","194","105","1.281","81","41","70","8","15","15","21","13","0","36","16","10","8","15","18","0"
"Bryant","W, 105-93","2022-02-19","FDU","H","195","105","1.217","87","37","71","14","30","17","28","8","0","38","21","6","4","10","20","0"
"Arizona","W, 105-59","2021-11-27","SAC","H","195","105","1.275","80","38","70","9","17","20","26","13","0","47","31","11","6","13","13","0"
"Florida State","W, 105-70","2021-11-10","PENN","H","195","105","1.327","82","37","75","7","22","24","34","23","0","47","16","15","6","11","18","0"
"South Dakota","W, 105-70","2022-01-15","NEBO","H","196","105","1.447","72","29","56","17","30","30","37","9","0","36","19","2","1","8","25","0"
"Illinois State","W, 105-100","2021-11-20","BUCK","H","219","105","1.149","92","31","71","8","25","35","45","12","0","38","14","11","2","11","23","0"
"Arizona","W, 104-50","2021-11-12","TRGV","H","193","104","1.306","81","34","56","11","29","25","35","11","0","51","25","8","8","18","22","0"
"Miami (Ohio)","W, 104-75","2021-11-13","LAM","H","194","104","1.402","74","39","64","17","32","9","13","8","0","34","27","8","4","12","17","0"
