Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"W, 90-39",11/5/2019,ND1,H,200,90,1.153,78,36,75,6,27,12,17,12,0,42,20,16,2,7,21,0
Abilene Christian,"L, 83-86",11/10/2019,DREX,V,225,83,1.044,80,30,65,9,25,14,20,3,0,18,13,12,2,8,26,0
Abilene Christian,"L, 69-73",11/16/2019,PEPP,H,200,69,0.963,73,20,50,5,18,24,33,9,0,31,9,10,0,15,20,0
Abilene Christian,"L, 58-72",11/18/2019,UNLV,V,200,58,0.889,64,22,59,7,26,7,9,9,0,25,16,6,1,11,17,0
Abilene Christian,"W, 90-58",11/21/2019,ND1,H,200,90,1.201,75,33,67,7,25,17,23,16,0,40,22,6,3,13,17,0
Abilene Christian,"L, 56-61",11/25/2019,TXST,V,200,56,0.811,68,19,56,5,13,13,17,11,0,34,7,5,5,16,20,0
Abilene Christian,"L, 51-70",11/29/2019,SMU,V,201,51,0.834,60,17,52,5,19,12,15,7,0,21,8,7,0,9,16,0
Abilene Christian,"W, 73-64",12/5/2019,SEMO,H,198,73,0.976,74,23,56,5,19,22,27,7,0,35,11,8,2,13,20,0
Abilene Christian,"W, 102-34",12/7/2019,ND1,H,200,102,1.281,80,43,79,6,27,10,16,16,0,47,27,9,2,9,17,0
Abilene Christian,"W, 105-36",12/12/2019,ND1,H,200,105,1.399,75,38,78,15,41,14,17,21,0,47,25,19,2,10,13,0
Abilene Christian,"W, 77-71",12/18/2019,UNO,V,200,77,0.997,78,24,50,7,15,22,30,8,0,30,18,11,3,21,22,0
Abilene Christian,"W, 79-61",12/21/2019,NICH,H,200,79,1.039,76,30,55,4,18,15,19,7,0,31,22,11,5,19,25,0
Abilene Christian,"L, 66-84",12/29/2019,WICH,V,197,66,0.847,76,21,54,5,21,19,23,5,0,25,9,8,4,18,23,0
Abilene Christian,"W, 74-62",1/4/2020,LAM,V,200,74,1.034,72,28,64,7,22,11,16,12,0,31,13,9,2,12,17,0
Abilene Christian,"L, 84-88",1/8/2020,MCN,H,200,84,1.025,79,29,63,6,21,20,23,6,0,17,15,5,2,14,28,0
Abilene Christian,"W, 68-56",1/11/2020,TAMC,H,200,68,0.949,70,18,52,7,22,25,35,11,0,30,11,14,1,14,25,0
Abilene Christian,"W, 76-55",1/18/2020,SELU,H,200,76,1.088,72,27,51,4,17,18,27,9,0,27,16,10,5,15,19,0
Abilene Christian,"L, 76-82",1/22/2020,SAMH,V,225,76,1.003,78,23,56,7,24,23,29,12,0,39,15,4,3,18,25,0
Abilene Christian,"W, 70-69",1/25/2020,UCA,V,225,70,0.898,77,22,61,11,28,15,23,8,0,27,12,9,3,14,25,0
Abilene Christian,"L, 61-71",1/29/2020,SFA,V,200,61,0.836,72,20,43,4,11,17,23,8,0,20,12,9,4,27,23,0
Abilene Christian,"W, 72-58",2/1/2020,INCW,H,200,72,1.127,63,23,51,9,28,17,25,9,0,26,15,9,1,10,22,0
Abilene Christian,"L, 69-73",2/5/2020,NWSU,V,200,69,0.913,74,25,69,7,25,12,16,12,0,37,13,8,3,11,20,0
Abilene Christian,"W, 84-49",2/8/2020,LAM,H,200,84,1.164,74,31,60,15,32,7,13,9,0,43,15,7,5,15,24,0
Abilene Christian,"W, 81-67",2/12/2020,HBU,H,200,81,1.054,78,29,58,8,20,15,25,6,0,28,24,11,6,13,25,0
Abilene Christian,"W, 78-64",2/15/2020,TAMC,V,200,78,1.111,70,26,46,1,13,25,32,6,0,26,10,12,3,15,19,0
Abilene Christian,"W, 82-68",2/19/2020,HBU,V,200,82,1.107,72,29,61,9,22,15,17,6,0,24,16,12,1,11,28,0
Abilene Christian,"W, 75-69",2/22/2020,SELU,V,200,75,1.06,72,23,51,3,14,26,29,11,0,33,14,8,1,17,18,0
Abilene Christian,"W, 85-69",2/26/2020,SAMH,H,200,85,1.115,73,26,51,9,23,24,30,4,0,25,10,7,3,15,23,0
Abilene Christian,"W, 75-70",2/29/2020,UCA,H,199,75,1.027,74,29,67,6,18,11,19,14,0,29,16,17,1,11,19,0
Abilene Christian,"L, 72-77",3/3/2020,SFA,H,200,72,1.01,72,24,55,3,18,21,28,12,0,34,9,7,4,15,28,0
Abilene Christian,"W, 71-68",3/7/2020,INCW,V,225,71,0.986,72,26,58,7,24,12,19,5,0,26,18,7,2,10,16,0
Air Force,"L, 79-89",11/7/2019,IDST,H,201,79,1.115,71,27,52,1,11,24,27,7,0,26,5,5,3,13,24,0
Air Force,"W, 78-71",11/9/2019,TXST,H,200,78,1.152,70,22,48,12,26,22,31,7,0,35,16,2,5,12,21,0
Air Force,"W, 69-57",11/12/2019,ARMY,V,200,69,0.938,74,23,56,9,25,14,18,4,0,34,11,9,2,13,10,0
Air Force,"L, 54-65",11/18/2019,TCU,V,200,54,0.841,63,20,47,6,20,8,11,5,0,25,15,3,3,17,15,0
Air Force,"L, 64-78",11/21/2019,LMU,H,200,64,1.003,61,19,46,6,22,20,27,6,0,18,14,1,0,11,14,0
Air Force,"L, 63-69",11/22/2019,DUQ,H,200,63,0.927,66,22,54,5,17,14,21,3,0,24,8,3,0,7,16,0
Air Force,"L, 74-84",11/24/2019,INST,V,200,74,1.052,70,25,56,6,23,18,26,7,0,22,10,7,0,9,22,0
Air Force,"W, 76-52",12/1/2019,JSU,H,200,76,1.142,68,26,44,9,19,15,18,3,0,33,17,6,1,17,11,0
Air Force,"W, 86-77",12/4/2019,WYO,V,200,86,1.261,67,32,60,17,30,5,11,7,0,30,21,7,1,10,12,0
Air Force,"L, 85-100",12/7/2019,NEV,H,200,85,1.116,76,25,55,9,25,26,34,4,0,24,8,6,2,9,23,0
Air Force,"W, 79-75",12/14/2019,DEN,V,200,79,1.145,70,25,54,13,27,16,21,7,0,33,15,3,3,12,14,0
Air Force,"W, 99-42",12/17/2019,ND1,H,199,99,1.451,68,32,51,9,14,26,30,6,0,41,20,7,5,9,11,0
Air Force,"L, 80-85",12/21/2019,DRKE,H,200,80,1.228,66,27,49,13,23,13,15,5,0,22,15,4,3,14,17,0
Air Force,"W, 105-56",12/31/2019,UCR,H,201,105,1.525,68,34,56,15,23,22,25,5,0,30,19,9,1,6,12,0
Air Force,"L, 59-71",1/4/2020,UNLV,V,200,59,0.808,70,18,52,10,27,13,19,5,0,26,13,3,1,17,22,0
Air Force,"W, 79-60",1/7/2020,USU,H,200,79,1.144,69,29,61,8,25,13,17,12,0,47,15,4,2,12,15,0
Air Force,"L, 78-84",1/11/2020,NM,V,200,78,0.944,82,30,71,8,28,10,14,10,0,28,17,9,0,15,22,0
Air Force,"W, 85-78",1/15/2020,BOIS,H,201,85,1.176,72,27,54,5,16,26,30,3,0,30,12,5,1,7,12,0
Air Force,"L, 65-78",1/18/2020,COST,H,200,65,0.896,70,22,53,6,24,15,18,4,0,35,13,3,0,15,21,0
Air Force,"L, 47-72",1/21/2020,USU,V,200,47,0.698,68,15,51,3,19,14,26,9,0,33,5,5,0,13,17,0
Air Force,"L, 81-90",1/25/2020,SJST,V,200,81,0.974,81,29,67,13,29,10,15,7,0,33,26,6,0,16,21,0
Air Force,"L, 68-79",1/28/2020,FRES,H,200,68,1.084,64,24,59,11,29,9,10,9,0,28,17,2,3,8,16,0
Air Force,"L, 54-88",2/4/2020,NEV,V,200,54,0.744,72,19,58,7,28,9,18,6,0,27,12,6,0,12,14,0
Air Force,"L, 74-89",2/8/2020,SDSU,H,200,74,1.157,64,26,56,8,20,14,21,10,0,33,16,4,1,8,22,0
Air Force,"L, 57-74",2/11/2020,BOIS,V,198,57,0.843,69,20,48,6,24,11,16,3,0,29,9,4,1,15,20,0
Air Force,"W, 95-86",2/15/2020,SJST,H,201,95,1.176,82,35,63,7,19,18,29,9,0,40,26,6,2,13,20,0
Air Force,"L, 62-71",2/19/2020,FRES,V,200,62,0.994,62,23,64,13,30,3,5,10,0,31,17,4,0,6,14,0
Air Force,"L, 72-78",2/22/2020,WYO,H,200,72,0.937,75,26,56,3,14,17,27,6,0,30,10,4,0,14,15,0
Air Force,"W, 60-58",2/26/2020,NM,H,201,60,0.836,70,23,60,10,25,4,8,9,0,36,20,4,2,17,14,0
Air Force,"L, 74-87",2/29/2020,COST,V,200,74,1.136,64,27,57,9,28,11,15,10,0,27,15,4,0,11,19,0
Air Force,"W, 77-70",3/4/2020,FRES,V,200,77,1.22,65,29,54,8,20,11,15,4,0,27,15,8,0,6,12,0
Air Force,"L, 60-73",3/5/2020,SDSU,V,200,60,0.956,63,21,47,10,24,8,10,3,0,24,10,7,0,14,16,0
