Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Abilene Christian,"W, 65-57",11/17/2016,UNH,V,200,65,0.893,74,22,46,5,15,16,29,1,5,34,8,8,2,14,21,0
Abilene Christian,"L, 65-66",11/22/2016,CHSO,H,200,65,1.007,66,27,48,2,13,9,18,4,2,26,16,8,4,12,17,0
Abilene Christian,"L, 64-72",11/25/2016,OU,V,200,64,0.81,80,24,57,7,22,9,19,9,3,42,6,13,4,22,32,0
Abilene Christian,"L, 55-64",11/30/2016,NM,V,200,55,0.905,62,20,48,8,24,7,10,6,3,28,13,3,2,14,20,0
Abilene Christian,"W, 85-82",12/3/2016,CHSO,V,225,85,1.191,74,28,50,8,14,21,26,5,2,33,10,4,5,14,23,0
Abilene Christian,"L, 86-88",12/17/2016,SAC,V,250,86,1.057,81,37,65,8,17,4,5,2,1,28,22,8,0,16,25,0
Abilene Christian,"L, 51-86",12/19/2016,SF,V,200,51,0.667,77,22,65,5,18,2,3,4,4,33,13,8,6,14,14,0
Abilene Christian,"L, 66-75",12/29/2016,UNO,V,200,66,1.001,66,21,47,6,17,18,23,9,0,27,12,6,2,17,30,0
Abilene Christian,"L, 53-75",12/31/2016,SELU,V,200,53,0.813,64,21,50,5,15,6,13,6,5,22,10,0,3,15,22,0
Abilene Christian,"L, 76-81",1/5/2017,UCA,H,200,76,1.048,74,29,60,11,26,7,20,5,1,26,19,12,1,8,22,0
Abilene Christian,"W, 69-60",1/7/2017,SFA,H,200,69,1.012,70,20,41,6,12,23,34,5,1,28,13,8,5,16,19,0
Abilene Christian,"L, 50-56",1/12/2017,SELU,H,200,50,0.748,68,15,41,5,17,15,25,5,2,28,8,7,2,19,27,0
Abilene Christian,"W, 67-64",1/14/2017,LAM,H,201,67,0.95,71,23,54,6,17,15,18,10,3,37,14,8,5,18,23,0
Abilene Christian,"L, 59-62",1/19/2017,NICH,V,200,59,0.871,67,23,59,8,20,5,12,9,4,35,13,4,4,12,18,0
Abilene Christian,"L, 79-82",1/26/2017,INCW,V,200,79,1.08,72,33,62,6,15,7,13,5,3,25,15,7,2,10,20,0
Abilene Christian,"L, 60-72",1/28/2017,TAMC,V,200,60,0.964,63,18,47,6,19,18,30,8,2,27,11,10,1,9,22,0
Abilene Christian,"W, 70-69",2/1/2017,UNO,H,226,70,1.074,68,26,49,11,24,7,13,7,3,24,16,8,1,17,26,0
Abilene Christian,"W, 71-64",2/4/2017,SAMH,H,200,71,1.011,72,19,42,6,22,27,32,5,2,31,9,6,5,18,25,0
Abilene Christian,"L, 73-84",2/9/2017,UCA,V,200,73,1.013,72,26,65,11,29,10,17,10,6,33,17,5,1,9,24,0
Abilene Christian,"W, 76-72",2/11/2017,NWSU,H,200,76,0.983,76,26,60,9,18,15,26,13,2,37,18,10,4,18,19,0
Abilene Christian,"W, 82-78",2/16/2017,MCN,V,200,82,1.182,70,27,53,8,21,20,26,8,2,37,16,7,3,12,16,0
Abilene Christian,"L, 44-56",2/22/2017,TAMC,H,200,44,0.654,65,17,51,5,19,5,7,5,3,31,13,6,3,18,21,0
Abilene Christian,"W, 84-81",2/25/2017,SAMH,V,200,84,1.139,72,25,51,11,21,23,29,5,4,29,18,7,2,14,25,0
Abilene Christian,"L, 75-89",3/1/2017,INCW,H,200,75,1.053,72,32,63,6,18,5,11,9,3,31,16,7,0,12,24,0
Abilene Christian,"L, 72-81",3/4/2017,HBU,V,200,72,1.109,64,30,59,8,24,4,4,6,0,28,14,5,2,10,19,0
Air Force,"W, 86-68",11/14/2016,JAX,H,200,86,1.26,68,26,53,10,17,24,30,9,3,35,18,4,1,10,19,0
Air Force,"W, 87-62",11/20/2016,FAMU,H,200,87,1.173,74,25,50,10,21,27,34,9,4,47,19,1,2,17,20,0
Air Force,"W, 85-72",11/22/2016,STET,H,200,85,1.128,77,31,70,8,21,15,26,14,1,51,17,2,2,7,18,0
Air Force,"L, 75-84",11/25/2016,AKR,H,200,75,1.096,69,25,54,5,15,20,24,9,4,34,8,6,2,12,21,0
Air Force,"L, 63-70",11/26/2016,ECU,H,200,63,0.879,72,21,62,11,29,10,12,7,5,32,10,11,2,11,14,0
Air Force,"L, 70-78",11/30/2016,NMSU,V,139,70,1.083,64,25,51,11,23,9,14,6,4,28,15,3,0,13,15,0
Air Force,"W, 83-70",12/3/2016,MOST,H,200,83,1.268,66,27,48,11,18,18,22,3,4,37,21,2,3,10,11,0
Air Force,"L, 71-79",12/7/2016,ARMY,V,200,71,0.876,79,25,64,9,22,12,17,6,3,32,10,7,4,15,19,0
Air Force,"L, 65-77",12/10/2016,DEN,H,201,65,0.958,68,21,52,7,22,16,25,7,3,31,12,7,3,11,17,0
Air Force,"L, 68-75",12/19/2016,COLO,H,200,68,1.007,68,22,61,8,26,16,20,13,2,38,14,7,2,10,22,0
Air Force,"W, 77-67",12/22/2016,UCD,H,200,77,1.072,72,24,49,10,21,19,27,7,0,37,17,3,2,17,19,0
Air Force,"L, 72-84",12/28/2016,WYO,V,200,72,0.877,82,26,73,7,22,13,17,12,4,45,13,9,1,13,22,0
Air Force,"W, 78-73",12/31/2016,USU,H,200,78,1.152,66,30,61,10,21,8,12,6,6,31,16,6,2,7,11,0
Air Force,"L, 58-85",1/7/2017,COST,V,200,58,0.846,70,20,48,5,19,13,18,6,3,29,13,10,1,18,17,0
Air Force,"W, 81-72",1/11/2017,FRES,H,200,81,1.178,67,27,52,5,18,22,29,11,6,39,16,4,2,14,21,0
Air Force,"L, 85-89",1/14/2017,SJST,H,200,85,1.21,69,28,49,6,17,23,30,5,3,26,18,5,1,12,12,0
Air Force,"L, 76-83",1/18/2017,NEV,V,200,76,1.027,74,25,58,9,28,17,19,11,0,37,18,10,2,18,22,0
Air Force,"L, 85-87",1/21/2017,UNLV,V,250,85,0.979,86,30,80,10,28,15,27,16,6,56,13,5,2,10,26,0
Air Force,"W, 60-57",1/24/2017,SDSU,H,200,60,0.924,64,20,52,6,18,14,23,8,5,38,12,4,4,10,12,0
Air Force,"L, 64-73",2/1/2017,FRES,V,200,64,0.92,69,21,58,12,35,10,16,9,1,34,15,7,1,13,23,0
Air Force,"L, 74-83",2/4/2017,WYO,H,200,74,0.982,75,24,67,8,21,18,26,12,3,37,14,7,1,8,19,0
Air Force,"L, 67-74",2/8/2017,NM,H,200,67,0.993,65,24,56,6,23,13,20,11,3,39,15,4,2,13,25,0
Air Force,"L, 66-76",2/11/2017,BOIS,V,200,66,0.929,69,26,54,5,11,9,17,2,3,31,19,5,5,11,21,0
Air Force,"L, 59-78",2/15/2017,NEV,H,200,59,0.919,63,22,56,8,30,7,11,5,0,22,13,5,1,8,14,0
Air Force,"L, 78-83",2/18/2017,SJST,V,225,78,0.967,81,31,59,5,15,11,14,3,1,27,14,11,1,18,19,0
Air Force,"W, 81-58",2/22/2017,UNLV,H,200,81,1.19,68,27,57,14,26,13,17,7,0,34,20,5,2,10,16,0
