Team1,Team2,Date
Wofford,Lipscomb,11/26/2023
Canisius,Bowling Green,11/26/2023
Bethune-Cookman,Lamar,11/24/2023
Delaware State,Bethune-Cookman,11/25/2023
Lamar,Delaware State,11/26/2023
Belmont,Monmouth,11/24/2023
Lafayette,Monmouth,11/25/2023
Belmont,Lafayette,11/26/2023
Southeast Missouri State,Evansville,11/25/2023
Fairleigh Dickinson,Jacksonville,11/25/2023
Jacksonville State,Incarnate Word,11/26/2023
College of Charleston,Liberty,12/1/2023
