Model Number,Model Type,Model,AIC,BIC,Dispersion,Num Obs,Components,DF Residuals,DF Model,Total DF,Log Likelihood,Deviance,Pearson Chi2 Statistic,Pearson Chi2 Critical Value,Pearson Chi2 P-Value,Worse Than,Same As ,Best Worse Than,Best Same As,Consider
37,Poisson,PP100 ~ Offense + Defense + Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,41371.68784,48891.23347,0,5570,5,4435,1134,5569,-19550.84392,5039.042607,5017.353972,4591.042097,1.44E-09,"25, 5",51,25,51,
51,Poisson,PP100 ~ Offense + Defense + Offense:Is_Neutral + Defense:Is_Neutral,41371.68785,48891.23347,0,5570,4,4435,1134,5569,-19550.84392,5039.042613,5017.364463,4591.042097,1.44E-09,"35, 25, 17, 15, 13, 11, 5, 3, 1",,35,,
27,Poisson,PP100 ~ Offense + Defense + Offense:Is_Away + Defense:Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,41371.68887,48891.2345,0,5570,6,4435,1134,5569,-19550.84444,5039.04364,5017.262412,4591.042097,1.44E-09,"11, 3, 1",51,11,51,
21,Poisson,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Away + Offense:Is_Away + Defense:Is_Home,41565.22003,51131.93711,0,5570,6,4126,1443,5569,-19338.61002,4614.574798,4583.571755,4276.547718,5.60E-07,"9, 7, 3, 1","55, 53, 49",9,55,
23,Poisson,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home + Offense:Is_Away + Defense:Is_Away,41565.22003,51131.93711,0,5570,6,4126,1443,5569,-19338.61002,4614.574798,4583.571755,4276.547718,5.60E-07,"9, 7, 3, 1","55, 53, 49",9,55,
49,Poisson,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home,41565.22003,51131.93711,0,5570,4,4126,1443,5569,-19338.61002,4614.574798,4583.571757,4276.547718,5.60E-07,"31, 19, 13, 9, 7, 5, 3, 1",,31,,
33,Poisson,PP100 ~ Offense + Defense + Is_Away + Offense:Is_Home + Defense:Is_Home,41565.22003,51131.93711,0,5570,5,4126,1443,5569,-19338.61002,4614.574798,4583.571368,4276.547718,5.60E-07,"19, 5",49,19,49,
19,Poisson,PP100 ~ Offense + Defense + Is_Away + Is_Neutral + Offense:Is_Home + Defense:Is_Home,41559.83075,51133.17298,0,5570,6,4125,1444,5569,-19334.91538,4607.18552,4576.087854,4275.529608,7.80E-07,,31,,31,
7,Poisson,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Home + Defense:Is_Away + Offense:Is_Away + Defense:Is_Home,41559.83075,51133.17298,0,5570,7,4125,1444,5569,-19334.91538,4607.185522,4576.083532,4275.529608,7.81E-07,,"53, 41, 39",,53,
9,Poisson,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Home + Defense:Is_Home + Offense:Is_Away + Defense:Is_Away,41559.83075,51133.17298,0,5570,7,4125,1444,5569,-19334.91538,4607.185522,4576.083532,4275.529608,7.81E-07,,"53, 41, 39, 31",,53,
